Y,FP1,AFF5,AFz,F1,FC5,FC1,T7,C3,Cz,CP5,CP1,P7,P3,Pz,POz,O1,FP2,AFF6,F2,FC2,FC6,C4,T8,CP2,CP6,P4,P8,O2,HEOG,VEOG
0,1.4872289550999996e-07,3.00833025312e-07,1.78358480387e-07,2.61701543753e-07,2.80446704847e-07,3.684013759329999e-07,1.4549917586999961e-08,5.2272482379e-07,5.0896096517e-07,6.38202533479e-07,9.137112575800001e-07,7.3696941607e-07,1.2598756806670002e-06,1.43278393741e-06,1.7327998597200002e-06,1.3569904342749997e-06,1.3449719744000007e-07,1.1543612156499999e-07,1.0525713653000001e-07,1.6565202608e-07,-1.6477056127000005e-07,4.7721097161e-07,-2.71176657847e-07,9.6585635955e-07,6.960709429619999e-07,1.32294183674e-06,4.82546565548e-07,1.50463310657e-06,-1.2019525935e-07,1.2452875775e-07
0,-1.7659646107000018e-08,-2.21927940306e-07,-1.07429051142e-07,-2.16466767496e-07,-2.5547841249999997e-07,-3.1549254663300006e-07,3.514186210200004e-08,-4.800144723899998e-07,-4.5726910880999994e-07,-5.879777790499999e-07,-8.58694069931e-07,-7.556269681199999e-07,-1.221680287132e-06,-1.36036180704e-06,-1.6564543999789998e-06,-1.37214094219e-06,-6.424475123499999e-08,-5.0167723020800016e-08,-3.6780959795000025e-08,-1.0585362035499997e-07,2.4717296961999993e-07,-4.0580669439999996e-07,3.144683033010001e-07,-9.0245209293e-07,-6.1874195296e-07,-1.2532671736900002e-06,-4.25375652734e-07,-1.4517663417469e-06,6.656443461999999e-08,-4.8898611458e-07
0,-9.233309287899999e-07,-4.4327386574999994e-07,-8.0979598855e-07,-8.709456231900001e-07,-7.6415465825e-07,-8.451821506200002e-07,-6.054532023889999e-07,-3.3310306778999994e-07,-7.904497962599998e-07,-2.931520511095e-07,-3.20942105194e-07,1.0819159199000008e-07,-1.2273387902999998e-07,-5.757016473700001e-07,-5.624633250553599e-07,5.717079023399995e-08,-1.5474261878378998e-06,-1.4539017344299996e-06,-1.27656670834e-06,-1.300234376183e-06,-1.5295883412949999e-06,-1.209679016929e-06,-6.7941595564e-07,-8.027032784560001e-07,-1.0928414981e-06,-7.29763465592e-07,-1.1103724681279999e-06,-5.005178757299999e-07,7.390545258599999e-07,2.95779380875e-06
0,1.64636024973e-07,3.57911831817e-07,3.6390833272000005e-07,4.5445535756399996e-07,1.23678762288e-07,6.23673476185e-07,1.5339885961e-07,2.6375082962e-07,5.80982279751e-07,-2.4108032693000004e-07,8.070976984009998e-08,-1.15057405713e-06,-4.2983480016999996e-07,-2.1441991986e-07,-4.1569723532000007e-07,-9.8418549537e-07,1.5232062555499994e-07,5.0972353802e-07,5.710532738099999e-07,7.850200070299999e-07,1.30763793543e-06,8.569038462300001e-07,1.35875000397e-06,4.1792401209029993e-07,4.5418863665999997e-07,1.8145524868000004e-07,2.07197922145e-07,3.339331982999998e-08,6.84986428146e-07,5.435664481e-06
0,-1.95597458162e-06,-1.16086974849e-06,-2.3749510644e-06,-7.92168645826e-07,-3.72841973135e-07,2.9869545002999995e-07,2.89901325779e-07,7.067397410470001e-07,1.14427665619e-06,7.13749874494e-07,1.24997016467e-06,4.827183287510001e-07,1.2556403043899998e-06,1.753961180087e-06,1.74190884089e-06,1.3592915212300003e-06,-4.156789826100001e-06,-2.4272841906399995e-06,-1.30082617491e-06,-1.4132142736000003e-07,-6.109954562999999e-07,4.7244796561100007e-07,-2.8301172738000013e-08,1.39864223825e-06,3.7492261079e-07,1.37150893597e-06,-2.2533458765999996e-07,1.0987329709279999e-06,-2.1274732357700003e-07,6.4704344726e-06
0,-3.4565041185500003e-06,-2.144755545212e-06,-2.3130072013799996e-06,2.9290811806000005e-07,2.27584942232e-07,1.5559848102700002e-06,6.687883890849999e-07,1.4775972726999998e-06,2.1073574430000002e-06,1.1874738513299998e-06,1.63208536449e-06,1.9829279720900003e-07,1.38292117725e-06,1.032704203875e-06,7.298838888e-07,9.9381629414e-07,-5.6713157027e-06,-3.4474574978e-06,-1.7374359176e-07,1.4030499295799998e-06,-4.67495801999997e-09,1.26585281154e-06,6.774922087089999e-07,1.3099865156699997e-06,2.0837170931999998e-07,7.24489483636e-07,-7.877576678979999e-07,4.110551200099999e-07,-2.8193596078690007e-07,3.455141858300001e-06
0,-6.5514967553999995e-06,-4.241933414699999e-06,-4.604679573899999e-06,-1.0086773259200002e-06,-8.909674282000003e-08,1.3523303883199998e-06,5.20995376891e-07,2.2819944232000003e-06,3.2413338442e-06,2.6634897557e-06,3.7074153972000003e-06,3.1603280799e-06,4.3890486887e-06,4.280884614e-06,4.6003688951e-06,4.9338801082e-06,-9.272407264900002e-06,-4.331660257900001e-06,-1.1102845871600002e-06,1.5508787098000002e-06,4.1682761972329996e-07,2.09737414283e-06,8.3708703386e-07,3.2731677013999998e-06,1.7845621948e-06,3.4429386223999997e-06,2.0052705017e-06,4.3676691124e-06,1.23131561083e-06,4.7899631780699996e-06
0,-1.0700628465300001e-05,-8.3611814567e-06,-9.2238580921e-06,-5.0413997743e-06,-3.1183416818800005e-06,-2.564094442349e-06,-1.059858483464e-06,-9.249444441739999e-07,-8.8195909186e-07,3.804817753637e-07,2.5380546431999997e-07,2.2092422906999997e-06,1.3864972808399999e-06,7.482877526597e-07,1.45042074227e-06,2.3235346584999997e-06,-1.3655078670000002e-05,-8.9250560694e-06,-5.4429018100999995e-06,-2.8319652658059995e-06,-2.542381261955e-06,-1.728967195433e-06,-1.0368528163809998e-06,-1.5205452649000003e-07,-4.503984650567e-07,7.61170736059e-07,7.5706530618e-07,2.3543516432e-06,1.088305625271e-06,4.51985547689e-06
0,-8.9708374192e-06,-6.9165579138e-06,-7.8968085959e-06,-3.9908803338999995e-06,-2.3100020737e-06,-1.9755583402e-06,-1.08233778047e-06,-3.5957559131e-07,-1.175852504154e-06,3.99417477378e-07,1.5725242792e-07,1.8337239694200002e-06,1.1630290812189998e-06,3.659888855e-07,1.18632813905e-06,1.9847790745049995e-06,-1.2096866646199999e-05,-8.0574100485e-06,-5.0633984734e-06,-2.904589982e-06,-3.7248758813e-06,-2.35774246728e-06,-2.07996440588e-06,-8.0018660032e-07,-1.1450911175500002e-06,2.2670275457000007e-07,7.25941821914e-07,1.8053293008699997e-06,1.2481488452500002e-07,1.77503126494e-05
0,-5.0155303704e-06,-3.6635487581e-06,-4.591941809199999e-06,-1.4715527982500002e-06,-1.21485764599e-07,2.5378553889000003e-07,-2.639902698200002e-08,1.0880678317e-06,3.8921747603e-07,1.07747222365e-06,1.0441428697e-06,1.1725968605399999e-06,1.2887450944799997e-06,4.3659083736999986e-07,8.5070171169e-07,9.280392444560001e-07,-7.2034416036e-06,-4.632511871799999e-06,-2.65027597153e-06,-6.10040871147e-07,-1.54200614786e-06,-4.28743458081e-07,-1.20242963195e-06,3.6486255752000005e-07,-4.1827738702199994e-07,6.55075079852e-07,-2.42772769451e-07,1.0333893295399999e-06,-1.47674651956e-06,3.0461542378e-05
0,-6.1885431912999985e-06,-4.8428767334e-06,-5.4228561417e-06,-2.3334258174000002e-06,-9.50163177567e-07,-6.000167982400001e-07,-1.91580144883e-07,3.07978796853e-07,-3.536690161379999e-07,5.391739948899999e-07,4.72591823047e-07,8.9902513489e-07,7.188451580599999e-07,-2.4376686687900006e-07,4.427582494999996e-08,3.831181976900001e-07,-8.645149769e-06,-5.6425008047e-06,-3.18535026252e-06,-1.4489193569599997e-06,-2.676470238993e-06,-1.0714566735499998e-06,-1.3243670281899999e-06,-4.0671513654099996e-07,-6.509453564099999e-07,-1.0130780039e-07,3.2751683584e-07,4.133714107399999e-07,-1.8957007462e-06,3.612210586e-05
0,-7.8647347781e-06,-6.029389116e-06,-6.3098306933e-06,-2.54651909182e-06,-1.7995732077609998e-06,-4.0454678090999997e-07,-9.036381924100001e-07,2.622982563160001e-07,3.481882477799999e-07,4.5995820771700005e-07,8.217834835600001e-07,1.2127268350899999e-06,1.09125870883e-06,2.0759295079e-07,4.589552512599999e-07,5.042105247299999e-07,-1.04930169216e-05,-6.8532251532999995e-06,-3.42935043234e-06,-1.032156907023e-06,-3.6384882898000008e-06,-6.879944085300001e-07,-2.2523320365999998e-06,1.6998238470299998e-07,-7.055880984200001e-07,3.6119334753e-07,-3.601214482300001e-07,1.02975208053e-06,-2.80933314992e-06,3.9037493774e-05
0,-9.1099478525e-06,-7.1718143244000015e-06,-8.219435724099998e-06,-5.9710267927e-06,-3.5954947539800007e-06,-4.3157554097e-06,-1.9445390271e-06,-2.7393954729000005e-06,-3.3910972111e-06,-1.3890584825210001e-06,-1.97497891822e-06,8.30168464348e-07,-8.0257444756e-07,-1.94991821553e-06,-1.2158790420400001e-06,8.752058507200009e-08,-1.00536224167e-05,-6.9016526839e-06,-6.4986226797000004e-06,-4.6090080121e-06,-3.6317098147e-06,-3.3084509561e-06,-1.46797055437e-06,-2.5468312944900002e-06,-1.02835450725e-06,-1.064193560079e-06,1.29361417874e-06,6.5652607135e-07,-1.779623354018e-06,5.2657092702e-05
0,-9.767063930689998e-07,-4.2515113909999983e-07,-1.27009699553e-06,-1.016877674358e-06,-4.9493704318e-07,-6.40399761824e-07,-2.7687138340000004e-07,-1.8494713666699997e-07,-7.012989369980001e-07,2.9126940870999997e-07,-1.3714454478999996e-07,1.23299718291e-06,3.2349035607000003e-07,-1.09273103503e-06,-9.9128214745e-07,-1.3796927353400003e-07,-6.8287218644e-07,-6.4906130982e-07,-1.51783986348e-06,-9.595321304599998e-07,-5.63734670658e-07,-9.356221367900001e-07,-4.26912893596e-07,-9.076358472744e-07,-5.924461431190001e-07,-9.3177328034e-07,-5.17298575778e-07,-8.2489177188e-07,-4.1363723468e-06,7.3871850365e-05
0,4.769680959e-06,3.5286024798e-06,3.2273931926200003e-06,7.19148181842e-07,3.0554523236799997e-07,1.0398003575000003e-07,-4.74654856375e-07,2.482618598e-07,-2.2178931559599994e-07,2.1426713018810001e-07,-2.0162249558610003e-07,2.2349015666900002e-07,-2.3316252286999998e-07,-1.22208675051e-06,-1.70873969904e-06,-1.31228614879e-06,7.465396823499999e-06,4.244621502699999e-06,6.7804224895e-07,-2.968347354999997e-08,7.286747997000002e-07,7.637639094999997e-08,8.703287303700001e-07,-4.5505156631300007e-07,-5.627947651420001e-08,-8.9555074983e-07,-1.52732481069e-07,-1.7645382482999998e-06,-4.239620836e-06,9.9588553614e-05
0,1.09553528491e-05,8.5560319022e-06,8.7211567092e-06,5.5923848465e-06,3.7766998627999992e-06,4.1107037524e-06,1.11571925461e-06,3.1140110553000006e-06,2.9558947099000006e-06,1.88189309665e-06,2.1830558870699997e-06,9.19134580012e-07,1.5225550515048e-06,6.7349589998e-07,-5.997468983000004e-08,-4.218339394100001e-07,1.4001284645000001e-05,9.3660978145e-06,5.448584296e-06,4.104772049999999e-06,3.942259329079999e-06,3.1277808703e-06,1.526211898815e-06,1.92253860781e-06,1.35292959412e-06,8.3519851678e-07,2.74623116671e-07,-5.52530629981e-07,-6.2841420443e-06,0.00011205129414
0,5.5217820769999995e-06,4.0094120826000005e-06,4.2445795597e-06,1.91570992071e-06,1.03012108386e-06,8.314057921709999e-07,3.9693252382000004e-07,5.87768971163e-07,2.43189687887e-07,1.5769727411999998e-07,-1.6598213590999967e-08,-6.720654144829999e-07,-5.390840258299999e-07,-1.1182382750000002e-06,-1.8310554221919997e-06,-1.97283074808e-06,8.1182441241e-06,4.6832653169e-06,1.55507500562e-06,6.83981285571e-07,9.5521820047e-07,2.4234766931e-07,5.760475419400001e-07,-2.2121173791000003e-07,-2.4960336894999997e-07,-9.5352746405e-07,-5.63098981704e-07,-1.8144626899999997e-06,-5.6640046784e-06,0.000104376198506
0,1.77869945741e-06,2.2960878127500004e-06,1.84878624809e-06,1.2239514008799998e-06,5.405887851000001e-07,1.5051825835e-06,3.3734073083999996e-07,1.42027652153e-06,1.7110759181e-06,9.9531605791e-07,1.34061119755e-06,1.0666978865109996e-07,1.0197496474500002e-06,6.0520102476e-07,2.6054948502599997e-07,-2.9206362965999994e-07,2.451478200219e-06,3.1219249613000004e-06,1.6784753160999998e-06,1.7071075256000002e-06,2.0974894975e-06,1.58814901571e-06,1.71280793777e-06,1.16532825921e-06,5.130242529500001e-07,4.2359876048899997e-07,-8.0662858995e-07,-7.4893714904e-07,-5.4730300607e-06,8.5533406987e-05
0,3.0671867865999998e-06,1.8652410162819998e-06,3.1133301895999996e-06,9.809119601180001e-07,1.2141917435299998e-07,1.9933982232e-07,3.7121495176999997e-07,-8.512485897000003e-08,-3.6772325742000014e-07,-1.5868955483999995e-07,-8.257213629899998e-07,-3.14805325723e-07,-1.074291632716e-06,-1.9508932506e-06,-2.296179209771e-06,-1.6997654070500001e-06,6.395673616399999e-06,3.7549400228e-06,1.334444312354e-06,2.8741274813e-07,8.0630581154e-07,-1.3250934302599995e-07,8.106932118100001e-07,-9.251727053800001e-07,-4.6700167094500005e-07,-1.32321657692e-06,-6.195228579196999e-07,-1.7327018124700001e-06,-7.8174510162e-06,0.000102307204509
0,5.4204639431e-06,4.450107966699999e-06,3.61469049539e-06,1.7493426681619998e-06,1.699984168888e-06,1.3061979055499999e-06,1.2497752934e-06,1.56269216098e-06,1.06799781614e-06,1.56522884956e-06,1.51473436843e-06,1.2718149884899999e-06,1.9272940433459997e-06,1.2086016136640001e-06,1.31868083221e-06,1.27993638206e-06,6.561939083799999e-06,3.299175731e-06,1.76030406485e-06,1.05180841676e-06,1.0427041153300002e-06,7.9494541737e-07,2.2499513490000013e-08,8.860984252300001e-07,-1.0258592112999998e-07,6.0642334024e-07,-8.157526228920001e-07,6.1545833355e-07,-1.3300047920899999e-05,0.00010278464090700001
