Time,S1D1HbO,S1D1HbR,S1D1HbT,S2D2HbO,S2D2HbR,S2D2HbT,S3D3HbO,S3D3HbR,S3D3HbT,S4D4HbO,S4D4HbR,S4D4HbT,S5D5HbO,S5D5HbR,S5D5HbT,S6D6HbO,S6D6HbR,S6D6HbT,S7D7HbO,S7D7HbR,S7D7HbT,S8D8HbO,S8D8HbR,S8D8HbT,S9D9HbO,S9D9HbR,S9D9HbT,S10D10HbO,S10D10HbR,S10D10HbT,S11D11HbO,S11D11HbR,S11D11HbT,S12D12HbO,S12D12HbR,S12D12HbT,S13D13HbO,S13D13HbR,S13D13HbT,S14D14HbO,S14D14HbR,S14D14HbT,S15D15HbO,S15D15HbR,S15D15HbT,S16D16HbO,S16D16HbR,S16D16HbT,S17D17HbO,S17D17HbR,S17D17HbT,S18D18HbO,S18D18HbR,S18D18HbT,S19D19HbO,S19D19HbR,S19D19HbT,S20D20HbO,S20D20HbR,S20D20HbT,S21D21HbO,S21D21HbR,S21D21HbT,S22D22HbO,S22D22HbR,S22D22HbT,S23D23HbO,S23D23HbR,S23D23HbT,S24D24HbO,S24D24HbR,S24D24HbT,S25D25HbO,S25D25HbR,S25D25HbT,S26D26HbO,S26D26HbR,S26D26HbT,S27D27HbO,S27D27HbR,S27D27HbT,S28D28HbO,S28D28HbR,S28D28HbT,S29D29HbO,S29D29HbR,S29D29HbT,S30D30HbO,S30D30HbR,S30D30HbT,S31D31HbO,S31D31HbR,S31D31HbT,S32D32HbO,S32D32HbR,S32D32HbT,S33D33HbO,S33D33HbR,S33D33HbT,S34D34HbO,S34D34HbR,S34D34HbT,S35D35HbO,S35D35HbR,S35D35HbT,S36D36HbO,S36D36HbR,S36D36HbT
0.0,-6.733945591e-07,-7.887244963e-05,-7.954584419e-05,0.0003291265051,-2.23371304e-05,0.0003067893747,-3.353583647e-06,-8.741430563e-05,-9.076788928e-05,0.0005846379005,-4.222730154e-05,0.0005424105989,0.0005166774596,-5.003469072e-05,0.0004666427689,-0.0002213143769,6.979560956e-06,-0.000214334816,-0.0002168076785,-8.43846464e-06,-0.0002252461431,-0.0008266885864,1.910515019e-05,-0.0008075834362,-0.0005141378375,-1.244815376e-05,-0.0005265859912,-0.0007001033936,1.814307188e-05,-0.0006819603217,0.0001432153428,4.893893779e-05,0.0001921542806,-0.0001826559985,-6.783495996e-05,-0.0002504909584,0.0001077198833,-6.444181795e-05,4.327806536e-05,-3.287615938e-05,-6.320056912e-05,-9.607672851e-05,0.0003625937814,-1.027174718e-05,0.0003523220342,-0.0004285216805,-4.18708619e-05,-0.0004703925424,-0.0005164083395,-3.108688092e-05,-0.0005474952204,-0.0002591989514,-3.840734667e-06,-0.0002630396861,-0.0004157436476,-8.223032003e-05,-0.0004979739676,-0.0002663898514,2.414705669e-05,-0.0002422427947,0.0002799394411,-5.077554412e-06,0.0002748618867,0.0003563178173,1.319178245e-05,0.0003695095997,0.0004035920126,5.892185115e-06,0.0004094841977,0.0003695891176,2.347137678e-05,0.0003930604943,-2.226411763e-05,-4.063085797e-05,-6.28949756e-05,0.0002745733557,3.057609323e-05,0.000305149449,-0.0002506583497,-1.403530821e-05,-0.0002646936579,-4.701924607e-05,7.632999592e-06,-3.938624648e-05,-0.0005931819549,-2.262886018e-05,-0.000615810815,-0.0006985623027,-8.223756888e-05,-0.0007807998715,-0.0006723082372,-7.53477719e-05,-0.0007476560091,-0.0008728292089,-0.0001216982055,-0.0009945274144,-0.0005941907696,-2.949998875e-05,-0.0006236907583,-0.000547909876,1.191386327e-05,-0.0005359960127,-0.0005245675865,-8.514769181e-05,-0.0006097152783,-8.503193302e-05,-0.0001177832227,-0.0002028151558
0.1,7.383327199e-07,-8.335324475e-05,-8.261491203e-05,0.0003611560476,-2.164055055e-05,0.0003395154971,5.284473371e-06,-9.28485792e-05,-8.756410583e-05,0.0006226616545,-4.229902961e-05,0.0005803626249,0.0005368932026,-5.108340358e-05,0.000485809799,-0.0002085564176,9.437370626e-06,-0.000199119047,-0.0002060467652,-7.085677874e-06,-0.0002131324431,-0.0008292931933,2.134975603e-05,-0.0008079434373,-0.0005114769666,-1.103943928e-05,-0.0005225164058,-0.0006961512055,1.985505055e-05,-0.000676296155,0.0001640082092,4.940297886e-05,0.000213411188,-0.0001721176346,-6.685356401e-05,-0.0002389711986,0.000100178259,-6.413776531e-05,3.604049372e-05,-1.77090503e-05,-6.48750366e-05,-8.25840869e-05,0.0003700601057,-1.65783506e-05,0.0003534817551,-0.0004289289697,-4.057088693e-05,-0.0004694998566,-0.000514204167,-3.373622177e-05,-0.0005479403888,-0.000235273556,-2.423883153e-08,-0.0002352977948,-0.0003932774651,-8.093117922e-05,-0.0004742086443,-0.0002404784702,2.525288506e-05,-0.0002152255851,0.0003270179357,-2.161653208e-06,0.0003248562825,0.0003724630842,1.250992144e-05,0.0003849730056,0.0004029010758,3.67945282e-06,0.0004065805286,0.0003679645351,2.206705271e-05,0.0003900315879,7.876148142e-06,-4.093552139e-05,-3.305937325e-05,0.0002981374127,2.55754157e-05,0.0003237128284,-0.0002435349646,-1.375361965e-05,-0.0002572885843,-3.725190128e-05,5.843768678e-06,-3.14081326e-05,-0.0005803209193,-2.099812192e-05,-0.0006013190412,-0.0006824385826,-8.050670124e-05,-0.0007629452838,-0.0006599855976,-7.596416979e-05,-0.0007359497674,-0.000855386163,-0.0001218158125,-0.0009772019754,-0.0005952114988,-2.881966884e-05,-0.0006240311676,-0.0005287479474,6.864189886e-06,-0.0005218837575,-0.0005159522126,-8.774834619e-05,-0.0006037005588,-5.379935177e-05,-0.0001182597204,-0.0001720590722
0.2,-5.665205384e-08,-8.785727201e-05,-8.791392406e-05,0.0003916855041,-2.08223559e-05,0.0003708631482,1.291372519e-05,-9.834424708e-05,-8.543052189e-05,0.0006589739592,-4.253152804e-05,0.0006164424312,0.0005545986834,-5.206952321e-05,0.0005025291602,-0.0001949747131,1.172754908e-05,-0.0001832471641,-0.0001945749037,-5.743529799e-06,-0.0002003184335,-0.0008286911987,2.343914064e-05,-0.000805252058,-0.0005076686889,-9.580192945e-06,-0.0005172488818,-0.0006902764572,2.147517719e-05,-0.00066880128,0.0001845816946,4.97359916e-05,0.0002343176862,-0.0001589998411,-6.606302716e-05,-0.0002250628682,9.466550115e-05,-6.401040445e-05,3.065509669e-05,2.882867229e-07,-6.676484942e-05,-6.64765627e-05,0.0003802049051,-2.328115367e-05,0.0003569237515,-0.0004268560383,-3.92472907e-05,-0.000466103329,-0.0005087099585,-3.658730978e-05,-0.0005452972683,-0.0002099677733,3.658648739e-06,-0.0002063091246,-0.0003689107471,-7.950259021e-05,-0.0004484133373,-0.00021350986,2.636512548e-05,-0.0001871447345,0.000373636815,7.010669538e-07,0.000374337882,0.000385563022,1.18449258e-05,0.0003974079478,0.0004018746752,1.631692812e-06,0.0004035063681,0.0003637734802,2.051215452e-05,0.0003842856348,3.974545386e-05,-4.154103606e-05,-1.7955822e-06,0.0003240622374,2.020987677e-05,0.0003442721142,-0.0002330569934,-1.348103102e-05,-0.0002465380245,-2.412647783e-05,3.801153951e-06,-2.032532388e-05,-0.0005644135642,-1.954043306e-05,-0.0005839539973,-0.0006634275638,-7.855386599e-05,-0.0007419814298,-0.0006439708125,-7.667639478e-05,-0.0007206472073,-0.0008345505914,-0.0001217678112,-0.0009563184026,-0.0005927454581,-2.80920745e-05,-0.0006208375326,-0.0005069126809,2.003940746e-06,-0.0005049087401,-0.0005036207042,-9.031991445e-05,-0.0005939406187,-1.984710713e-05,-0.0001184356398,-0.000138282747
0.3,-3.237812714e-06,-9.237526997e-05,-9.561308268e-05,0.0004203422472,-1.990506094e-05,0.0004004371863,1.929493851e-05,-0.0001038918327,-8.459689419e-05,0.0006931745893,-4.294141045e-05,0.0006502331789,0.0005695345593,-5.299452473e-05,0.0005165400346,-0.000180787386,1.382745711e-05,-0.0001669599289,-0.0001825858375,-4.414887751e-06,-0.0001870007253,-0.0008250555892,2.536073903e-05,-0.0007996948502,-0.0005028956767,-8.081480525e-06,-0.0005109771572,-0.0006826849094,2.300579163e-05,-0.0006596791178,0.0002046402749,4.992759598e-05,0.0002545678709,-0.000143447222,-6.549417134e-05,-0.0002089413934,9.115233708e-05,-6.408107315e-05,2.707126393e-05,2.098825234e-05,-6.887748723e-05,-4.788923489e-05,0.0003929776066,-3.034875054e-05,0.0003626288561,-0.0004224817437,-3.791624188e-05,-0.0004603979856,-0.0005001790941,-3.960520346e-05,-0.0005397842975,-0.0001836558271,7.190813088e-06,-0.000176465014,-0.0003429721981,-7.796792052e-05,-0.0004209401186,-0.000185826147,2.749260363e-05,-0.0001583335434,0.0004194404319,3.482205834e-06,0.0004229226377,0.0003954599112,1.11902256e-05,0.0004066501368,0.0004004197468,-2.591958088e-07,0.000400160551,0.0003570187939,1.881595048e-05,0.0003758347444,7.308410502e-05,-4.242621312e-05,3.06578919e-05,0.0003522185778,1.449319788e-05,0.0003667117757,-0.0002194294117,-1.319709407e-05,-0.0002326265058,-7.762841889e-06,1.49631472e-06,-6.266527168e-06,-0.0005456454675,-1.82740141e-05,-0.0005639194816,-0.0006417773065,-7.640468971e-05,-0.0007181819962,-0.0006245067132,-7.748178893e-05,-0.0007019885021,-0.0008106191553,-0.0001215751803,-0.0009321943356,-0.0005870071925,-2.734730588e-05,-0.0006143544984,-0.0004828620773,-2.685376629e-06,-0.000485547454,-0.000487827612,-9.285454979e-05,-0.0005806821618,1.638177511e-05,-0.000118365254,-0.0001019834789
0.4,-8.95771925e-06,-9.689812928e-05,-0.0001058558485,0.0004467744977,-1.891165087e-05,0.0004278628469,2.420192343e-05,-0.0001094823704,-8.528044699e-05,0.000724886186,-4.354373791e-05,0.0006813424481,0.0005814622145,-5.386050235e-05,0.0005276017122,-0.0001662147333,1.571594883e-05,-0.0001504987845,-0.0001702778247,-3.102222144e-06,-0.0001733800468,-0.000818579709,2.710432142e-05,-0.0007914753876,-0.0004973486828,-6.554570493e-06,-0.0005039032533,-0.0006735922775,2.444981757e-05,-0.0006491424599,0.0002238964459,4.996856797e-05,0.0002738650139,-0.0001256184585,-6.517593149e-05,-0.00019079439,8.960434342e-05,-6.437164982e-05,2.52326936e-05,4.425228899e-05,-7.121929866e-05,-2.696700967e-05,0.0004083191728,-3.774777322e-05,0.0003705713995,-0.0004159971579,-3.659467808e-05,-0.000452591836,-0.00048887401,-4.27553385e-05,-0.0005316293485,-0.0001567085762,1.055278005e-05,-0.0001461557961,-0.0003157971374,-7.635099827e-05,-0.0003921481357,-0.0001577723857,2.864140463e-05,-0.0001291309811,0.0004640854786,6.154172951e-06,0.0004702396515,0.0004020295014,1.053855911e-05,0.0004125680605,0.0003984557005,-2.001539192e-06,0.0003964541613,0.0003477350129,1.698837159e-05,0.0003647233845,0.0001076285227,-4.356772205e-05,6.406080068e-05,0.0003824684903,8.440750824e-06,0.0003909092412,-0.0002028719338,-1.288693951e-05,-0.0002157588733,1.170075441e-05,-1.078805278e-06,1.062194913e-05,-0.0005242172505,-1.721553327e-05,-0.0005414327838,-0.0006177491173,-7.40857918e-05,-0.0006918349091,-0.0006018568091,-7.837755762e-05,-0.0006802343667,-0.0007839061349,-0.0001212575684,-0.0009051637033,-0.0005782316474,-2.661521321e-05,-0.0006048468607,-0.0004570602207,-7.223456929e-06,-0.0004642836776,-0.0004688497458,-9.53423602e-05,-0.000564192106,5.442736601e-05,-0.0001181012858,-6.367391978e-05
0.5,-1.733946527e-05,-0.0001014168814,-0.0001187563467,0.0004706552644,-1.78652506e-05,0.0004527900138,2.742390722e-05,-0.0001151074569,-8.76835497e-05,0.0007537581919,-4.435182107e-05,0.0007094063709,0.0005901666018,-5.467002798e-05,0.0005354965738,-0.0001514767759,1.737354722e-05,-0.0001341032286,-0.0001578513516,-1.807579892e-06,-0.0001596589315,-0.0008094752633,2.866226663e-05,-0.0007808129967,-0.0004912238521,-5.010668254e-06,-0.0004962345204,-0.0006632216235,2.581048277e-05,-0.0006374111407,0.000242074192,4.985097958e-05,0.0002919251716,-0.000105684816,-6.513511091e-05,-0.0001708199269,8.998245749e-05,-6.49041317e-05,2.507832579e-05,6.993120238e-05,-7.379569076e-05,-3.86448838e-06,0.0004261617395,-4.544317047e-05,0.000380718569,-0.0004076031041,-3.530002885e-05,-0.0004429031329,-0.0004750633124,-4.600392386e-05,-0.0005210672363,-0.0001294887179,1.372247113e-05,-0.0001157662467,-0.0002877237453,-7.467597489e-05,-0.0003623997202,-0.0001296927248,2.981448758e-05,-9.98782372e-05,0.0005072429658,8.690185956e-06,0.0005159331517,0.0004051819478,9.882034172e-06,0.0004150639819,0.000395915893,-3.603719601e-06,0.0003923121734,0.000335988622,1.503999485e-05,0.0003510286168,0.0001431133424,-4.49407041e-05,9.81726383e-05,0.0004146668762,2.06937627e-06,0.0004167362525,-0.0001836167609,-1.254222721e-05,-0.0001961589881,3.410917872e-05,-3.931152626e-06,3.01780261e-05,-0.0005003433094,-1.637986118e-05,-0.0005167231706,-0.0005916150761,-7.162439355e-05,-0.0006632394697,-0.0005763018115,-7.936139166e-05,-0.0006556632032,-0.0007547398452,-0.0001208333554,-0.0008755732006,-0.0005666715471,-2.5924371e-05,-0.0005925959181,-0.0004299701627,-1.16300321e-05,-0.0004416001948,-0.0004469826922,-9.777193651e-05,-0.0005447546287,9.382005694e-05,-0.0001176940086,-2.387395168e-05
0.6,-2.847496833e-05,-0.0001059227285,-0.0001343976968,0.0004916855518,-1.67888683e-05,0.0004748966835,2.876718923e-05,-0.000120759313,-9.199212378e-05,0.0007794699535,-4.537705107e-05,0.0007340929025,0.0005954584354,-5.542602183e-05,0.0005400324135,-0.0001367912036,1.87826142e-05,-0.0001180085894,-0.0001455071831,-5.325368262e-07,-0.0001460397199,-0.0007979705793,3.002960116e-05,-0.0007679409781,-0.0004847203747,-3.460624754e-06,-0.0004881809994,-0.0006518011384,2.709112064e-05,-0.0006247100178,0.0002589118019,4.956832773e-05,0.0003084801297,-8.38290899e-05,-6.539598499e-05,-0.0001492250749,9.224288974e-05,-6.570032403e-05,2.654256571e-05,9.786488405e-05,-7.661123583e-05,2.125364822e-05,0.0004464280622,-5.339880812e-05,0.0003930292541,-0.0003975083946,-3.40499008e-05,-0.0004315582954,-0.0004590198114,-4.931834295e-05,-0.0005083381543,-0.0001023477381,1.667538478e-05,-8.567235328e-05,-0.0002590897802,-7.296731565e-05,-0.0003320570958,-0.0001019269798,3.101162243e-05,-7.091535741e-05,0.0005485996707,1.106435432e-05,0.000559664025,0.0004048619845,9.212249901e-06,0.0004140742344,0.000392748561,-5.074058274e-06,0.0003876745027,0.0003218774971,1.298199117e-05,0.0003348594882,0.0001792727906,-4.651928781e-05,0.0001327535028,0.0004486621885,-4.602829678e-06,0.0004440593588,-0.0001619073655,-1.216133718e-05,-0.0001740687027,5.929153758e-05,-7.066306702e-06,5.222523088e-05,-0.0004742508187,-1.577982369e-05,-0.0004900306424,-0.0005636558801,-6.904798887e-05,-0.000632703869,-0.0005481367193,-8.04317259e-05,-0.0006285684452,-0.0007234592468,-0.0001203198116,-0.0008437790584,-0.0005525952528,-2.530097763e-05,-0.0005778962305,-0.0004020474228,-1.592391768e-05,-0.0004179713405,-0.000422537384,-0.000100131193,-0.000522668577,0.0001340871598,-0.000117190347,1.689681279e-05
0.7,-4.242393737e-05,-0.0001104071334,-0.0001528310708,0.0005095970273,-1.57052431e-05,0.0004938917842,2.805638269e-05,-0.0001264308286,-9.837444592e-05,0.0008017332154,-4.662875454e-05,0.0007551044609,0.0005971759393,-5.613163817e-05,0.0005410443011,-0.0001223714852,1.992764063e-05,-0.0001024438446,-0.0001334446406,7.219016224e-07,-0.0001327227389,-0.0007843088552,3.120382037e-05,-0.0007531050348,-0.0004780382607,-1.914654829e-06,-0.0004799529155,-0.0006395620519,2.829508174e-05,-0.0006112669702,0.0002741643858,4.91156379e-05,0.0003232800237,-6.024463221e-05,-6.597976159e-05,-0.0001262243938,9.633701862e-05,-6.678170445e-05,2.955531417e-05,0.0001278825125,-7.966958669e-05,4.821292577e-05,0.0004690317839,-6.157834331e-05,0.0004074534406,-0.0003859283399,-3.286169182e-05,-0.0004187900317,-0.0004410190821,-5.266744158e-05,-0.0004936865237,-7.562363515e-05,1.938475825e-05,-5.62388769e-05,-0.0002302295083,-7.124991181e-05,-0.0003014794201,-7.480731253e-05,3.222959681e-05,-4.257771572e-05,0.0005878595551,1.325177204e-05,0.0006011113271,0.0004010488658,8.520458532e-06,0.0004095693243,0.0003889177602,-6.420717712e-06,0.0003824970425,0.0003055300912,1.082600881e-05,0.0003163561,0.0002158419123,-4.827703498e-05,0.0001675648773,0.0004842969711,-1.155675723e-05,0.0004727402139,-0.0001379978486,-1.174888575e-05,-0.0001497467344,8.706215151e-05,-1.048824216e-05,7.657390936e-05,-0.0004461783952,-1.542602214e-05,-0.0004616044173,-0.0005341585133,-6.638407157e-05,-0.0006005425849,-0.0005176679861,-8.158768873e-05,-0.0005992556748,-0.0006904104975,-0.0001197332142,-0.0008101437117,-0.0005362848146,-2.476778728e-05,-0.0005610526018,-0.0003737339137,-2.012241445e-05,-0.0003938563282,-0.000395836702,-0.000102408275,-0.0004982449771,0.0001747591908,-0.0001166331119,5.81260789e-05
0.8,-5.921311535e-05,-0.0001148619152,-0.0001740750305,0.000524154479,-1.463674353e-05,0.0005095177355,2.513569591e-05,-0.0001321155638,-0.0001069798679,0.0008202943778,-4.811405624e-05,0.0007721803216,0.0005951864493,-5.679016429e-05,0.000538396285,-0.0001084248553,2.079565634e-05,-8.762919893e-05,-0.0001218598846,1.955416054e-06,-0.0001199044685,-0.0007687460633,3.218462815e-05,-0.0007365614351,-0.0004713760073,-3.821336466e-07,-0.000471758141,-0.0006267363577,2.942570205e-05,-0.0005973106557,0.0002876064384,4.848950015e-05,0.0003360959386,-3.513393501e-05,-6.690404053e-05,-0.0001020379755,0.0001022117235,-6.81693794e-05,3.40423441e-05,0.0001598039111,-8.297317616e-05,7.683073494e-05,0.0004938789416,-6.994621266e-05,0.0004239327289,-0.0003730829527,-3.175211404e-05,-0.0004048350667,-0.0004213380226,-5.602165778e-05,-0.0004773596803,-4.963827995e-05,2.182142186e-05,-2.781685809e-05,-0.000201470447,-6.954921216e-05,-0.0002710196592,-4.865474681e-05,3.346256816e-05,-1.519217864e-05,0.0006247456395,1.522856126e-05,0.0006399742008,0.000393756508,7.797731535e-06,0.0004015542395,0.0003844045245,-7.651599842e-06,0.0003767529247,0.0002871046818,8.583996041e-06,0.0002956886779,0.0002525583072,-5.018732072e-05,0.0002023709864,0.0005214090207,-1.877252361e-05,0.000502636497,-0.0001121520675,-1.131486519e-05,-0.0001234669327,0.0001172218065,-1.419903399e-05,0.0001030227725,-0.0004163740467,-1.532672408e-05,-0.0004317007708,-0.0005034134347,-6.365988694e-05,-0.0005670733216,-0.0004852102735,-8.282892927e-05,-0.0005680392028,-0.0006559431522,-0.000119088905,-0.0007750320573,-0.0005180336743,-2.43432961e-05,-0.0005423769704,-0.0003454521852,-2.424114577e-05,-0.000369693331,-0.0003672121244,-0.0001045922456,-0.00047180437,0.0002153762736,-0.0001160605479,9.931572574e-05
0.9,-7.883558183e-05,-0.0001192792918,-0.0001981148737,0.0005351582281,-1.360525172e-05,0.0005215529764,1.987044979e-05,-0.0001378077201,-0.0001179372703,0.0008349366947,-4.983775293e-05,0.0007850989417,0.0005893879643,-5.740494233e-05,0.000531983022,-9.515006042e-05,2.137661458e-05,-7.377344584e-05,-0.0001109440726,3.168443505e-06,-0.0001077756291,-0.0007515483669,3.297366865e-05,-0.0007185746982,-0.0004649281653,1.12850441e-06,-0.0004637996609,-0.00061355432,3.048627352e-05,-0.0005830680465,0.0002990344481,4.768802035e-05,0.0003467224684,-8.706615029e-06,-6.818241803e-05,-7.688903306e-05,0.0001098101239,-6.988399254e-05,3.992613132e-05,0.0001934417782,-8.652283308e-05,0.0001069189451,0.000520870054,-7.846848971e-05,0.0004424015643,-0.0003591946436,-3.073668814e-05,-0.0003899313318,-0.0004002532082,-5.935298014e-05,-0.0004596061884,-2.46940743e-05,2.395347855e-05,-7.405957513e-07,-0.000173129784,-6.789126114e-05,-0.0002410210451,-2.37754964e-05,3.47024366e-05,1.09269402e-05,0.0006590023478,1.697191244e-05,0.0006759742602,0.0003830337577,7.035136375e-06,0.000390068894,0.0003792079283,-8.774250261e-06,0.0003704336781,0.0002667884779,6.267991395e-06,0.0002730564693,0.0002891645702,-5.222367641e-05,0.0002369408938,0.000559833326,-2.622968043e-05,0.0005336036456,-8.464199738e-05,-1.087373023e-05,-9.551572761e-05,0.0001495594973,-1.819856725e-05,0.0001313609301,-0.0003850926027,-1.548776046e-05,-0.0004005803632,-0.0004717114512,-6.090218721e-05,-0.0005326136384,-0.0004510826965,-8.415554711e-05,-0.0005352382436,-0.0006204061427,-0.0001184013135,-0.0007388074563,-0.0004981436261,-2.404143308e-05,-0.0005221850592,-0.0003176001077,-2.829422181e-05,-0.0003458943295,-0.0003370005209,-0.0001066734692,-0.0004436739901,0.0002554947873,-0.0001155062541,0.0001399885332
