Time,S1D1HbO,S1D1HbR,S1D1HbT,S2D2HbO,S2D2HbR,S2D2HbT,S3D3HbO,S3D3HbR,S3D3HbT,S4D4HbO,S4D4HbR,S4D4HbT,S5D5HbO,S5D5HbR,S5D5HbT,S6D6HbO,S6D6HbR,S6D6HbT,S7D7HbO,S7D7HbR,S7D7HbT,S8D8HbO,S8D8HbR,S8D8HbT,S9D9HbO,S9D9HbR,S9D9HbT,S10D10HbO,S10D10HbR,S10D10HbT,S11D11HbO,S11D11HbR,S11D11HbT,S12D12HbO,S12D12HbR,S12D12HbT,S13D13HbO,S13D13HbR,S13D13HbT,S14D14HbO,S14D14HbR,S14D14HbT,S15D15HbO,S15D15HbR,S15D15HbT,S16D16HbO,S16D16HbR,S16D16HbT,S17D17HbO,S17D17HbR,S17D17HbT,S18D18HbO,S18D18HbR,S18D18HbT,S19D19HbO,S19D19HbR,S19D19HbT,S20D20HbO,S20D20HbR,S20D20HbT,S21D21HbO,S21D21HbR,S21D21HbT,S22D22HbO,S22D22HbR,S22D22HbT,S23D23HbO,S23D23HbR,S23D23HbT,S24D24HbO,S24D24HbR,S24D24HbT,S25D25HbO,S25D25HbR,S25D25HbT,S26D26HbO,S26D26HbR,S26D26HbT,S27D27HbO,S27D27HbR,S27D27HbT,S28D28HbO,S28D28HbR,S28D28HbT,S29D29HbO,S29D29HbR,S29D29HbT,S30D30HbO,S30D30HbR,S30D30HbT,S31D31HbO,S31D31HbR,S31D31HbT,S32D32HbO,S32D32HbR,S32D32HbT,S33D33HbO,S33D33HbR,S33D33HbT,S34D34HbO,S34D34HbR,S34D34HbT,S35D35HbO,S35D35HbR,S35D35HbT,S36D36HbO,S36D36HbR,S36D36HbT
0.0,0.000709248212,0.0001632220234,0.0008724702353,0.001079854531,0.0002479204655,0.001327774996,-0.0003331394103,0.0003758500163,4.271060597e-05,-0.0003750367787,0.0001011295975,-0.0002739071812,-0.0007163217605,6.836224205e-05,-0.0006479595184,0.0001813230712,0.0001640388272,0.0003453618983,-0.0009740091969,0.0002399394774,-0.0007340697195,-0.0001957086443,0.0002441877215,4.84790772e-05,-0.001037418736,0.0001376892927,-0.0008997294438,-0.0005646122544,0.000240143937,-0.0003244683174,-0.0003060901352,0.0001957242188,-0.0001103659165,-0.002278401988,0.0002362579542,-0.002042144033,-0.00422742433,-4.883890616e-05,-0.004276263237,-0.00153087094,8.597774371e-05,-0.001444893196,-0.002496252872,-0.0003822695874,-0.002878522459,-0.002436277541,-0.0001552745367,-0.002591552077,-0.002344871198,-3.496490825e-06,-0.002348367688,-0.004415393922,0.0001865089332,-0.004228884989,-0.004504917557,-0.0001453977805,-0.004650315338,7.816124666e-05,0.0002775713317,0.0003557325784,-0.0003020033353,0.0001772910794,-0.0001247122559,-0.001063925505,0.0001301916728,-0.0009337338319,-0.0003925321254,0.0001169308235,-0.0002756013019,-0.0001881956957,0.0001695494873,-1.864620844e-05,-0.001896043474,0.0002146727303,-0.001681370744,-0.001019333785,-9.341658994e-05,-0.001112750375,-0.002363168171,-3.770378472e-05,-0.002400871956,-0.002441211446,0.000153235246,-0.0022879762,-0.00195917772,-0.000139999111,-0.002099176831,-0.001732562254,-0.000248785985,-0.001981348239,-0.003422487907,5.090387105e-05,-0.003371584036,-0.002279361629,8.12254189e-05,-0.00219813621,-0.005288005105,0.0003375625944,-0.004950442511,-0.002956053959,-8.249306009e-05,-0.003038547019,-0.003885128024,0.0001880621452,-0.003697065879,-0.004054965198,0.001342607779,-0.00271235742
0.1,0.0007412165815,0.0001740459088,0.0009152624903,0.001098489181,0.0002520083237,0.001350497505,-0.0003246601346,0.0003811328625,5.647272789e-05,-0.0003762140967,0.0001044550922,-0.0002717590045,-0.0007203279854,7.105538997e-05,-0.0006492725954,0.0001967937241,0.0001593863465,0.0003561800707,-0.0009737944472,0.0002429178984,-0.0007308765488,-0.0002000679269,0.0002495572585,4.948933163e-05,-0.001044185827,0.0001395979347,-0.0009045878918,-0.0005804396322,0.0002426706733,-0.0003377689589,-0.0003166092906,0.0001969992884,-0.0001196100023,-0.00225782616,0.000238909305,-0.002018916855,-0.004189741581,-0.0001072659436,-0.004297007524,-0.001522741988,9.232716084e-05,-0.001430414827,-0.002504559239,-0.0003780229659,-0.002882582205,-0.002458255289,-0.0001505060656,-0.002608761354,-0.002360852219,8.191891472e-06,-0.002352660327,-0.004420011097,0.0001978969973,-0.0042221141,-0.004467363493,-0.0001547481259,-0.004622111619,0.0001061840773,0.0002768628732,0.0003830469505,-0.0003004168113,0.0001790893911,-0.0001213274202,-0.001073003925,0.0001319273256,-0.0009410765997,-0.000429560003,0.0001194029495,-0.0003101570534,-0.0002184984171,0.0001647933583,-5.370505883e-05,-0.001883321913,0.0002215798002,-0.001661742113,-0.001030000824,-8.982933504e-05,-0.001119830159,-0.002355772721,-2.403142609e-05,-0.002379804147,-0.002491485179,0.0001639799589,-0.00232750522,-0.001971276188,-0.0001428302144,-0.002114106402,-0.001745137476,-0.0002429812411,-0.001988118717,-0.003386543711,4.102414232e-05,-0.003345519569,-0.002259679303,8.009612966e-05,-0.002179583173,-0.005274213534,0.0003370298187,-0.004937183715,-0.002981814659,-6.332715711e-05,-0.003045141816,-0.003884179954,0.0001818809015,-0.003702299053,-0.004061312583,0.001377273242,-0.002684039341
0.2,0.0007710227067,0.0001844089402,0.0009554316469,0.00111429785,0.0002554285631,0.001369726413,-0.0003168886592,0.0003859821296,6.909347033e-05,-0.000378772017,0.0001076650858,-0.0002711069312,-0.0007250831365,7.384076273e-05,-0.0006512423738,0.0002114991376,0.0001541351126,0.0003656342501,-0.0009719270798,0.0002454387824,-0.0007264882974,-0.0002031580006,0.0002543398118,5.118181122e-05,-0.0010504404,0.0001415496119,-0.0009088907884,-0.0005961137881,0.0002449766248,-0.0003511371632,-0.0003271609845,0.0001980704345,-0.0001290905499,-0.002236927973,0.0002413223456,-0.001995605627,-0.004148314392,-0.0001645960386,-0.00431291043,-0.00151260984,9.863971089e-05,-0.00141397013,-0.002510938745,-0.00037461329,-0.002885552035,-0.002477961444,-0.0001444244899,-0.002622385934,-0.002372193702,1.980031921e-05,-0.002352393383,-0.004423499146,0.000209384294,-0.004214114852,-0.004421738288,-0.0001653444282,-0.004587082716,0.000135125642,0.0002757186763,0.0004108443183,-0.0002977227923,0.0001805361493,-0.0001171866429,-0.001081142658,0.0001334699368,-0.0009476727212,-0.0004675358319,0.0001214744375,-0.0003460613944,-0.0002500659946,0.0001595718375,-9.049415712e-05,-0.001869211854,0.0002286062248,-0.001640605629,-0.001040017713,-8.605630166e-05,-0.001126074015,-0.002346303402,-1.145106943e-05,-0.002357754472,-0.002537856007,0.0001714955931,-0.002366360414,-0.001983204478,-0.0001445037621,-0.00212770824,-0.001755936949,-0.0002370374479,-0.001992974397,-0.00334834116,3.023839635e-05,-0.003318102764,-0.002238067565,7.8033234e-05,-0.002160034331,-0.005255536864,0.0003338101367,-0.004921726727,-0.003006011258,-4.304744691e-05,-0.003049058705,-0.003880046352,0.0001749678167,-0.003705078535,-0.004046055617,0.001402443489,-0.002643612128
0.3,0.0007984090593,0.0001942496513,0.0009926587106,0.001127055518,0.0002581458359,0.001385201354,-0.0003098893303,0.0003903910881,8.05017578e-05,-0.0003828139007,0.0001107488078,-0.0002720650928,-0.0007306138699,7.67315932e-05,-0.0006538822766,0.0002254401249,0.0001482942878,0.0003737344126,-0.0009683559229,0.000247506356,-0.000720849567,-0.0002050109465,0.0002585177099,5.350676341e-05,-0.00105621191,0.0001435484637,-0.0009126634463,-0.0006116156233,0.0002470490653,-0.000364566558,-0.0003377185454,0.0001989402658,-0.0001387782796,-0.002215811242,0.0002434134452,-0.001972397797,-0.004103802206,-0.0002199488168,-0.004323751023,-0.00150049485,0.0001048593989,-0.001395635451,-0.002515047226,-0.0003722370442,-0.00288728427,-0.002495495434,-0.0001369698089,-0.002632465243,-0.002378854178,3.133084558e-05,-0.002347523332,-0.004426182577,0.0002210109327,-0.004205171644,-0.00436883609,-0.0001767698247,-0.004545605915,0.0001648715308,0.0002741430505,0.0004390145814,-0.0002939868273,0.0001816260908,-0.0001123607365,-0.001088399805,0.000134798789,-0.0009536010157,-0.0005064834291,0.0001231191166,-0.0003833643125,-0.0002828355223,0.0001538900911,-0.0001289454312,-0.001853726282,0.0002357176766,-0.001618008605,-0.001049338565,-8.209500759e-05,-0.001131433573,-0.002334742539,-4.077512956e-07,-0.002335150291,-0.00258021209,0.0001757206088,-0.002404491482,-0.00199485408,-0.0001450586945,-0.002139912775,-0.001764873277,-0.0002309972151,-0.001995870492,-0.003307866075,1.854179528e-05,-0.00328932428,-0.002214672276,7.52086486e-05,-0.002139463627,-0.005232038971,0.0003279433822,-0.004904095589,-0.003028557061,-2.179910891e-05,-0.00305035617,-0.003872818598,0.0001673655067,-0.003705453091,-0.004009289225,0.00141817159,-0.002591117635
0.4,0.0008231331719,0.0002035126595,0.001026645831,0.001136552816,0.000260134699,0.001396687515,-0.0003037148012,0.0003943558873,9.064108608e-05,-0.0003884193445,0.0001136962292,-0.0002747231153,-0.000736926747,7.974159107e-05,-0.0006571851559,0.0002386441418,0.0001418760361,0.0003805201778,-0.0009630285432,0.0002491286667,-0.0007138998765,-0.0002056670731,0.0002620786576,5.641158446e-05,-0.001061526918,0.0001455982932,-0.0009159286243,-0.0006269246449,0.0002488749813,-0.0003780496635,-0.0003482555129,0.0001996106119,-0.000148644901,-0.002194541068,0.0002450924508,-0.001949448618,-0.004056943516,-0.0002724081615,-0.004329351677,-0.001486404798,0.00011092565,-0.001375479148,-0.002516542807,-0.0003710839556,-0.002887626762,-0.002510955554,-0.0001281017208,-0.002639057275,-0.002380796539,4.277202003e-05,-0.002338024519,-0.004428353127,0.0002328191772,-0.00419553395,-0.004309557021,-0.0001885689868,-0.004498126008,0.0001953118112,0.0002721403407,0.0004674521519,-0.0002892806855,0.0001823580632,-0.0001069226223,-0.00109484925,0.0001358932783,-0.0009589559718,-0.0005464133071,0.0001243163324,-0.0004220969748,-0.0003167444265,0.0001477555855,-0.000168988841,-0.0018368588,0.0002428657023,-0.001593993098,-0.001057914111,-7.795078369e-05,-0.001135864895,-0.00232110383,8.683738824e-06,-0.002312420091,-0.002618452451,0.0001766238329,-0.002441828618,-0.002006093632,-0.0001445535995,-0.002150647231,-0.001771853836,-0.0002249031442,-0.001996756981,-0.003265115434,5.920048489e-06,-0.003259195386,-0.002189664044,7.182823134e-05,-0.002117835813,-0.00520377667,0.0003194763733,-0.004884300296,-0.003049358221,2.443298281e-07,-0.003049113891,-0.003862589074,0.0001591100441,-0.00370347903,-0.00395139418,0.00142461908,-0.0025267751
0.5,0.0008449674849,0.0002121490801,0.001057116565,0.001142595986,0.0002613798157,0.001403975802,-0.000298408259,0.0003978755698,9.946731078e-05,-0.000395645573,0.0001164982713,-0.0002791473016,-0.000744011197,8.28848578e-05,-0.0006611263392,0.0002511623278,0.0001348941616,0.0003860564894,-0.0009558943743,0.0002503173273,-0.0007055770469,-0.0002051740156,0.0002650143089,5.984029325e-05,-0.001066411927,0.0001477027416,-0.0009187091852,-0.0006420217544,0.0002504412856,-0.0003915804688,-0.0003587484669,0.0002000826778,-0.0001586657891,-0.002173148598,0.0002462682102,-0.001926880388,-0.004008539655,-0.0003210506967,-0.004329590351,-0.001470336358,0.0001167729089,-0.001353563449,-0.002515098421,-0.0003713292571,-0.002886427678,-0.002524434634,-0.0001178042522,-0.002642238886,-0.002377994008,5.40958867e-05,-0.002323898121,-0.004430262379,0.0002448464688,-0.004185415911,-0.004244880591,-0.0002002673024,-0.004445147893,0.0002263395493,0.0002697146111,0.0004960541604,-0.0002836825779,0.000182735311,-0.0001009472669,-0.001100581778,0.0001367334603,-0.000963848318,-0.000587321173,0.0001250518192,-0.0004622693538,-0.0003517327148,0.0001411779473,-0.0002105547676,-0.001818591145,0.0002499915956,-0.001568599549,-0.001065695176,-7.363757457e-05,-0.00113933275,-0.002305434868,1.545283224e-05,-0.002289982036,-0.002652493016,0.0001742073146,-0.002478285701,-0.002016774336,-0.0001430644253,-0.002159838762,-0.001776784821,-0.00021879514,-0.001995579961,-0.003220105885,-7.639129182e-06,-0.003227745014,-0.002163232175,6.812166496e-05,-0.00209511051,-0.00517080855,0.0003084631923,-0.004862345358,-0.003068312014,2.28816966e-05,-0.003045430318,-0.00384945569,0.0001502301701,-0.00369922552,-0.003873069779,0.001422069902,-0.002450999877
0.6,0.0008636995662,0.0002201168355,0.001083816402,0.001145007246,0.0002618759876,0.001406883234,-0.0002940049631,0.000400952089,0.0001069471259,-0.000404528365,0.0001191468613,-0.0002853815036,-0.0007518416817,8.6175784e-05,-0.0006656658977,0.0002630660623,0.0001273629785,0.0003904290409,-0.0009469069046,0.0002510870519,-0.0006958198527,-0.0002035855428,0.0002673187483,6.373320541e-05,-0.001070894365,0.0001498654591,-0.0009210289061,-0.0006568901488,0.000251735064,-0.0004051550848,-0.0003691779886,0.0002003572773,-0.0001688207112,-0.002151634494,0.0002468528993,-0.001904781594,-0.003959430019,-0.0003649802966,-0.004324410316,-0.001452274885,0.0001223299327,-0.001329944953,-0.002510411593,-0.000373126993,-0.002883538586,-0.002536015032,-0.0001060894346,-0.002642104467,-0.002370437538,6.525792053e-05,-0.002305179618,-0.004432116765,0.000257117367,-0.004174999398,-0.004175838562,-0.0002113888656,-0.004387227428,0.0002578502159,0.0002668695287,0.0005247197446,-0.0002772767677,0.0001827656213,-9.451114643e-05,-0.001105704372,0.0001373005746,-0.0009684037973,-0.0006291862331,0.0001253184855,-0.0005038677477,-0.0003877439424,0.0001341686104,-0.000253575332,-0.00179890071,0.0002570310881,-0.001541869622,-0.00107263432,-6.917815288e-05,-0.001141812473,-0.002287818373,1.958699963e-05,-0.002268231374,-0.002682274135,0.000168508964,-0.002513765171,-0.002026735337,-0.0001406817616,-0.002167417098,-0.001779574829,-0.0002127072335,-0.001992282063,-0.003172879249,-2.213479607e-05,-0.003195014045,-0.002135575688,6.433201903e-05,-0.002071243669,-0.005133205759,0.0002949682731,-0.004838237486,-0.003085304819,4.588680725e-05,-0.003039418011,-0.003833525789,0.0001407479333,-0.003692777855,-0.0037753465,0.00141093876,-0.00236440774
0.7,0.0008791332776,0.0002273808446,0.001106514122,0.001143626169,0.000261628061,0.00140525423,-0.0002905325929,0.0004035903885,0.0001130577956,-0.0004150819875,0.0001216349317,-0.0002934470559,-0.0007603783568,8.962889924e-05,-0.0006707494576,0.000274443409,0.0001192968145,0.0003937402236,-0.0009360243617,0.0002514550442,-0.0006845693175,-0.0002009597437,0.0002689870738,6.802733014e-05,-0.001075001333,0.0001520901962,-0.0009229111368,-0.0006715139771,0.0002527437911,-0.000418770186,-0.000379527354,0.0002004350477,-0.0001790923063,-0.002129970118,0.0002467648301,-0.001883205288,-0.003910461641,-0.0004033638609,-0.004313825502,-0.001432192585,0.0001275191021,-0.001304673483,-0.002502211161,-0.0003766047725,-0.002878815934,-0.002545762378,-9.300014148e-05,-0.002638762519,-0.002358143137,7.620013149e-05,-0.002281943005,-0.004434074955,0.0002696370701,-0.004164437885,-0.004103486194,-0.0002214744293,-0.004324960623,0.0002897424449,0.0002636083395,0.0005533507844,-0.0002701522305,0.0001824611656,-8.76910649e-05,-0.001110337616,0.0001375774956,-0.0009727601204,-0.0006719694292,0.0001251170145,-0.0005468524147,-0.0004247247871,0.0001267404826,-0.0002979843045,-0.001777766634,0.0002639189635,-0.001513847671,-0.001078685098,-6.460399998e-05,-0.001143289098,-0.002268373409,2.084450519e-05,-0.002247528904,-0.002707768693,0.0001596046704,-0.002548164023,-0.002035807536,-0.0001375082227,-0.002173315759,-0.001780138105,-0.0002066640806,-0.001986802186,-0.003123505366,-3.754262464e-05,-0.003161047991,-0.002106893348,6.070588247e-05,-0.002046187465,-0.005091062634,0.0002790714138,-0.004811991221,-0.00310021102,6.90133297e-05,-0.00303119769,-0.003814917654,0.0001306799998,-0.003684237654,-0.003659570604,0.001391771666,-0.002267798939
0.8,0.0008910908268,0.0002339131332,0.00112500396,0.001138312003,0.0002606507775,0.001398962781,-0.0002880107071,0.0004057985207,0.0001177878136,-0.0004272983945,0.0001239564646,-0.0003033419299,-0.0007695666395,9.32586451e-05,-0.0006763079944,0.0002853952702,0.0001107103315,0.0003961056017,-0.0009232091733,0.0002514402613,-0.0006717689119,-0.0001973567016,0.0002700140766,7.265737504e-05,-0.001078757161,0.0001543807414,-0.0009243764193,-0.0006858757584,0.0002534554618,-0.0004324202966,-0.0003897799643,0.0002003165552,-0.0001894634091,-0.002108097281,0.000245929945,-0.001862167336,-0.003862456776,-0.0004354628863,-0.004297919662,-0.001410046689,0.0001322564559,-0.001277790233,-0.002490260873,-0.0003818600505,-0.002872120923,-0.002553718781,-7.861196279e-05,-0.002632330744,-0.002341157157,8.68559427e-05,-0.002254301215,-0.004436247312,0.0002823886512,-0.004153858661,-0.004028870596,-0.0002301000713,-0.004258970668,0.000321919498,0.0002599339108,0.0005818534088,-0.0002624007091,0.0001818380599,-8.056264917e-05,-0.001114611934,0.0001375491345,-0.0009770627993,-0.0007156121912,0.0001244561861,-0.0005911560051,-0.0004626237727,0.0001189078823,-0.0003437158904,-0.001755173805,0.0002705927587,-0.001484581047,-0.001083799979,-5.995481102e-05,-0.00114375479,-0.0022472563,1.906382184e-05,-0.002228192478,-0.002728991012,0.0001476106916,-0.00258138032,-0.002043815848,-0.0001336558963,-0.002177471744,-0.001778397509,-0.0002006782116,-0.001979075721,-0.00307208281,-5.380714867e-05,-0.003125889959,-0.002077375535,5.748502867e-05,-0.002019890506,-0.005044505974,0.0002608737304,-0.004783632244,-0.003112893602,9.200075076e-05,-0.003020892852,-0.003793759139,0.0001200384999,-0.003673720639,-0.003527364686,0.001365240142,-0.002162124544
0.9,0.0008994150699,0.0002396928615,0.001139107931,0.001128946206,0.0002589685767,0.001387914783,-0.0002864502321,0.0004075876896,0.0001211374575,-0.0004411465838,0.0001261065941,-0.0003150399896,-0.0007793369513,9.707905293e-05,-0.0006822578984,0.0002960308633,0.0001016195712,0.0003976504345,-0.0009084272156,0.0002510626229,-0.0006573645927,-0.0001928365516,0.0002703932438,7.75566922e-05,-0.001082181563,0.0001567407255,-0.0009254408371,-0.0006999542962,0.0002538586805,-0.0004460956157,-0.000399917284,0.0002000023115,-0.0001999149725,-0.00208592859,0.0002442821694,-0.00184164642,-0.003816182838,-0.0004606573147,-0.004276840153,-0.001385779637,0.0001364528639,-0.001249326773,-0.002474360882,-0.0003889576623,-0.002863318544,-0.002559897155,-6.303391812e-05,-0.002622931073,-0.00231955899,9.715533726e-05,-0.002222403653,-0.004438696503,0.0002953341454,-0.004143362358,-0.003952997862,-0.0002368950419,-0.004189892904,0.0003542902079,0.0002558488358,0.0006101390436,-0.0002541148865,0.0001809157948,-7.319909164e-05,-0.001118663719,0.000137202857,-0.0009814608617,-0.0007600363464,0.0001233528438,-0.0006366835026,-0.0005013898977,0.0001106867916,-0.0003907031062,-0.001731114923,0.0002769950179,-0.001454119905,-0.001087929015,-5.527743177e-05,-0.001143206447,-0.00222466,1.416766633e-05,-0.002210492334,-0.002746005964,0.0001326865633,-0.002613319401,-0.002050581332,-0.0001292437302,-0.002179825062,-0.001774287117,-0.0001947493303,-0.001969036447,-0.003018737754,-7.083803784e-05,-0.003089575792,-0.002047200049,5.490021503e-05,-0.001992299834,-0.004993702267,0.0002405030818,-0.004753199185,-0.003123206433,0.0001145795025,-0.00300862693,-0.003770184655,0.0001088309677,-0.003661353688,-0.003380578488,0.001332132668,-0.00204844582
