Source.Name,Time,S1D1HbO,S1D1HbR,S1D1HbT,S2D2HbO,S2D2HbR,S2D2HbT,S3D3HbO,S3D3HbR,S3D3HbT,S4D4HbO,S4D4HbR,S4D4HbT,S5D5HbO,S5D5HbR,S5D5HbT,S6D6HbO,S6D6HbR,S6D6HbT,S7D7HbO,S7D7HbR,S7D7HbT,S8D8HbO,S8D8HbR,S8D8HbT,S9D9HbO,S9D9HbR,S9D9HbT,S10D10HbO,S10D10HbR,S10D10HbT,S11D11HbO,S11D11HbR,S11D11HbT,S12D12HbO,S12D12HbR,S12D12HbT,S13D13HbO,S13D13HbR,S13D13HbT,S14D14HbO,S14D14HbR,S14D14HbT,S15D15HbO,S15D15HbR,S15D15HbT,S16D16HbO,S16D16HbR,S16D16HbT,S17D17HbO,S17D17HbR,S17D17HbT,S18D18HbO,S18D18HbR,S18D18HbT,S19D19HbO,S19D19HbR,S19D19HbT,S20D20HbO,S20D20HbR,S20D20HbT,S21D21HbO,S21D21HbR,S21D21HbT,S22D22HbO,S22D22HbR,S22D22HbT,S23D23HbO,S23D23HbR,S23D23HbT,S24D24HbO,S24D24HbR,S24D24HbT,S25D25HbO,S25D25HbR,S25D25HbT,S26D26HbO,S26D26HbR,S26D26HbT,S27D27HbO,S27D27HbR,S27D27HbT,S28D28HbO,S28D28HbR,S28D28HbT,S29D29HbO,S29D29HbR,S29D29HbT,S30D30HbO,S30D30HbR,S30D30HbT,S31D31HbO,S31D31HbR,S31D31HbT,S32D32HbO,S32D32HbR,S32D32HbT,S33D33HbO,S33D33HbR,S33D33HbT,S34D34HbO,S34D34HbR,S34D34HbT,S35D35HbO,S35D35HbR,S35D35HbT,S36D36HbO,S36D36HbR,S36D36HbT,Column1
Avg_0-back.csv,-10,-0.000527989,-0.000371303,-0.000899293,-0.002034962,-2.16572E-05,-0.00205662,-0.001865852,-0.000248016,-0.002113868,-0.00176541,5.80222E-05,-0.001707388,-0.000696735,-9.93926E-05,-0.000796128,-0.001027818,4.2217E-06,-0.001023597,-0.000446076,-1.08972E-05,-0.000456974,-0.00045862,-2.68497E-05,-0.000485469,-0.000584791,5.44629E-05,-0.000530328,-0.000354476,2.53779E-05,-0.000329098,-0.00097832,1.94253E-05,-0.000958894,-0.00095203,4.47839E-05,-0.000907246,-0.001307674,-2.05339E-05,-0.001328207,-0.00060837,1.01363E-05,-0.000598234,-0.000933824,-1.02169E-07,-0.000933926,-0.001665391,-5.61391E-05,-0.001721531,-0.001532592,-0.000144353,-0.001676945,-0.001724333,-7.81307E-05,-0.001802464,-0.001181122,-0.000181462,-0.001362583,-0.001092579,-0.000102089,-0.001194669,-0.002325797,4.14718E-05,-0.002284325,-0.000770166,7.82878E-05,-0.000691878,-0.001618638,-0.0001042,-0.001722838,0.000871923,-7.33831E-05,0.00079854,-0.001344849,-0.000158444,-0.001503293,-0.000572393,-4.27627E-05,-0.000615155,-0.001518927,-0.000191284,-0.00171021,-0.000891025,-4.66888E-05,-0.000937713,-0.000628975,7.43903E-05,-0.000554585,-0.001738545,-0.000140155,-0.0018787,-0.001858833,-6.2486E-05,-0.001921319,-0.002389899,-0.000182355,-0.002572253,-0.002363914,-0.000219445,-0.002583359,-0.002303718,-5.83048E-05,-0.002362023,-0.001955252,-0.000111175,-0.002066427,-0.001479939,-0.000395663,-0.001875603,
Avg_0-back.csv,-9.9,-0.000500725,-0.000366014,-0.000866739,-0.001987608,-2.02699E-05,-0.002007877,-0.001817824,-0.000230838,-0.002048662,-0.001735212,6.35021E-05,-0.00167171,-0.000678867,-9.41071E-05,-0.000772975,-0.000998043,5.56359E-06,-0.000992479,-0.000418532,-1.94452E-05,-0.000437977,-0.000422733,-2.667E-05,-0.000449403,-0.000557726,5.11789E-05,-0.000506547,-0.000334674,2.17233E-05,-0.00031295,-0.000961485,2.44936E-05,-0.000936991,-0.000933481,4.23945E-05,-0.000891087,-0.00128347,-1.91016E-05,-0.001302571,-0.000614364,1.78039E-05,-0.00059656,-0.000939969,1.21797E-05,-0.000927789,-0.001628623,-5.50356E-05,-0.001683659,-0.001493534,-0.000140369,-0.001633903,-0.001689464,-7.46904E-05,-0.001764155,-0.001165217,-0.000178384,-0.0013436,-0.001082522,-9.84396E-05,-0.001180962,-0.002319432,5.0085E-05,-0.002269347,-0.000784796,8.58841E-05,-0.000698912,-0.001603581,-9.73636E-05,-0.001700945,0.00085356,-6.72836E-05,0.000786276,-0.001347562,-0.000142098,-0.001489661,-0.000592119,-2.78923E-05,-0.000620011,-0.001510091,-0.000177464,-0.001687556,-0.00090263,-3.35712E-05,-0.000936201,-0.000622155,7.47677E-05,-0.000547388,-0.001713234,-0.000135962,-0.001849196,-0.001825177,-6.10259E-05,-0.001886203,-0.002350624,-0.000180871,-0.002531495,-0.002324455,-0.000211602,-0.002536056,-0.002262348,-6.01817E-05,-0.002322529,-0.001920639,-0.000104544,-0.002025183,-0.001443716,-0.000392305,-0.001836021,
Avg_0-back.csv,-9.8,-0.000476031,-0.000360245,-0.000836276,-0.001941668,-1.8551E-05,-0.001960219,-0.001772426,-0.000213478,-0.001985904,-0.0017063,6.89967E-05,-0.001637303,-0.000662065,-8.86875E-05,-0.000750752,-0.000969671,7.25026E-06,-0.000962421,-0.0003925,-2.73842E-05,-0.000419884,-0.000387794,-2.61141E-05,-0.000413908,-0.000532223,4.83754E-05,-0.000483848,-0.000316837,1.85992E-05,-0.000298237,-0.000946288,2.98201E-05,-0.000916468,-0.000915026,4.05073E-05,-0.000874518,-0.001258901,-1.72203E-05,-0.001276121,-0.00062053,2.57485E-05,-0.000594782,-0.000946065,2.48091E-05,-0.000921256,-0.001592901,-5.35443E-05,-0.001646446,-0.001456058,-0.000135108,-0.001591166,-0.001656268,-7.04635E-05,-0.001726732,-0.001151143,-0.000174198,-0.001325341,-0.001073786,-9.41631E-05,-0.001167949,-0.002312907,5.86369E-05,-0.00225427,-0.000800252,9.36777E-05,-0.000706574,-0.001589895,-9.03142E-05,-0.001680209,0.000833559,-6.09655E-05,0.000772594,-0.001349963,-0.000125417,-0.00147538,-0.000612329,-1.23673E-05,-0.000624697,-0.001500357,-0.000163575,-0.001663932,-0.000913908,-2.00584E-05,-0.000933967,-0.000616719,7.56809E-05,-0.000541038,-0.001689015,-0.000131534,-0.001820549,-0.001792054,-5.92115E-05,-0.001851266,-0.002311994,-0.000178726,-0.00249072,-0.002286862,-0.000202075,-0.002488937,-0.002219451,-6.39477E-05,-0.002283399,-0.001886299,-9.78109E-05,-0.00198411,-0.001408527,-0.000388625,-0.001797153,
Avg_0-back.csv,-9.7,-0.000453862,-0.000353992,-0.000807854,-0.001897142,-1.64898E-05,-0.001913631,-0.001729707,-0.000196004,-0.001925711,-0.001678619,7.45053E-05,-0.001604114,-0.000646334,-8.31428E-05,-0.000729477,-0.000942681,9.2574E-06,-0.000933424,-0.000368,-3.46779E-05,-0.000402678,-0.000353865,-2.523E-05,-0.000379095,-0.000508336,4.60499E-05,-0.000462286,-0.000300958,1.60152E-05,-0.000284942,-0.000932705,3.53894E-05,-0.000897315,-0.000896661,3.91489E-05,-0.000857512,-0.001233984,-1.48696E-05,-0.001248853,-0.00062682,3.39556E-05,-0.000592865,-0.000951967,3.77396E-05,-0.000914228,-0.001558186,-5.1656E-05,-0.001609842,-0.001420125,-0.000128668,-0.001548793,-0.001624678,-6.54719E-05,-0.00169015,-0.001138819,-0.000168917,-0.001307736,-0.001066285,-8.92342E-05,-0.001155519,-0.002306063,6.70842E-05,-0.002238979,-0.000816369,0.000101627,-0.000714742,-0.001577466,-8.30799E-05,-0.001660546,0.000812036,-5.44626E-05,0.000757573,-0.001351895,-0.000108453,-0.001460348,-0.000632829,3.72369E-06,-0.000629106,-0.0014896,-0.000149661,-0.001639262,-0.000924757,-6.20692E-06,-0.000930964,-0.000612617,7.7133E-05,-0.000535484,-0.00166583,-0.000126875,-0.001792705,-0.001759452,-5.70422E-05,-0.001816494,-0.002273975,-0.000175918,-0.002449893,-0.002251042,-0.000190924,-0.002441967,-0.002175043,-6.96346E-05,-0.002244677,-0.001852189,-9.10107E-05,-0.0019432,-0.001374337,-0.000384748,-0.001759084,
Avg_0-back.csv,-9.6,-0.000434151,-0.000347264,-0.000781414,-0.001854011,-1.4079E-05,-0.00186809,-0.001689698,-0.000178499,-0.001868197,-0.001652097,8.00252E-05,-0.001572071,-0.000631677,-7.74855E-05,-0.000709163,-0.00091704,1.15573E-05,-0.000905483,-0.000345032,-4.12974E-05,-0.000386329,-0.000320991,-2.408E-05,-0.000345072,-0.000486111,4.41927E-05,-0.000441918,-0.000287011,1.39764E-05,-0.000273035,-0.000920692,4.11828E-05,-0.000879509,-0.000878384,3.83417E-05,-0.000840043,-0.001208737,-1.20351E-05,-0.001220772,-0.000633179,4.24052E-05,-0.000590774,-0.000957528,5.09207E-05,-0.000906608,-0.001524428,-4.9366E-05,-0.001573794,-0.001385675,-0.000121158,-0.001506833,-0.001594606,-5.9747E-05,-0.001654352,-0.001128136,-0.000162568,-0.001290704,-0.001059916,-8.36339E-05,-0.00114355,-0.00229873,7.53832E-05,-0.002223347,-0.000832973,0.000109687,-0.000723286,-0.001566168,-7.5692E-05,-0.00164186,0.000789117,-4.78116E-05,0.000741306,-0.001353203,-9.12632E-05,-0.001444467,-0.000653419,2.02856E-05,-0.000633133,-0.001477711,-0.000135765,-0.001613476,-0.000935083,7.92449E-06,-0.000927159,-0.000609786,7.91213E-05,-0.000530664,-0.00164361,-0.00012199,-0.001765599,-0.001727349,-5.45199E-05,-0.001781869,-0.002236525,-0.000172452,-0.002408977,-0.002216872,-0.000178237,-0.00239511,-0.002129161,-7.72364E-05,-0.002206397,-0.001818261,-8.41729E-05,-0.001902433,-0.001341114,-0.000380774,-0.001721888,
Avg_0-back.csv,-9.5,-0.000416816,-0.000340076,-0.000756893,-0.001812245,-1.13149E-05,-0.00182356,-0.001652408,-0.000161061,-0.001813469,-0.001626644,8.55519E-05,-0.001541092,-0.000618093,-7.17317E-05,-0.000689825,-0.000892704,1.41194E-05,-0.000878584,-0.00032358,-4.72222E-05,-0.000370802,-0.000289202,-2.27369E-05,-0.000311939,-0.000465588,4.27869E-05,-0.000422801,-0.000274954,1.24835E-05,-0.00026247,-0.000910194,4.71778E-05,-0.000863017,-0.000860194,3.8104E-05,-0.00082209,-0.001183176,-8.70876E-06,-0.001191885,-0.000639549,5.10728E-05,-0.000588476,-0.000962605,6.42985E-05,-0.000898307,-0.001491565,-4.6675E-05,-0.00153824,-0.00135263,-0.000112693,-0.001465323,-0.001565947,-5.33297E-05,-0.001619277,-0.001118961,-0.000155194,-0.001274155,-0.001054561,-7.73518E-05,-0.001131912,-0.002290732,8.34904E-05,-0.002207241,-0.000849883,0.000117811,-0.000732072,-0.001555857,-6.81851E-05,-0.001624042,0.000764946,-4.10513E-05,0.000723895,-0.001353734,-7.39104E-05,-0.001427645,-0.000673896,3.7218E-05,-0.000636678,-0.001464598,-0.000121921,-0.001586519,-0.000944801,2.22753E-05,-0.000922526,-0.000608149,8.16377E-05,-0.000526512,-0.001622276,-0.000116878,-0.001739154,-0.00169572,-5.16499E-05,-0.001747369,-0.002199589,-0.000168337,-0.002367926,-0.002184202,-0.000164128,-0.00234833,-0.002081864,-8.67094E-05,-0.002168573,-0.001784463,-7.73232E-05,-0.001861786,-0.001308839,-0.000376781,-0.00168562,
Avg_0-back.csv,-9.4,-0.000401763,-0.00033246,-0.000734223,-0.001771798,-8.1976E-06,-0.001779995,-0.001617822,-0.000143798,-0.00176162,-0.001602159,9.10785E-05,-0.001511081,-0.000605576,-6.59004E-05,-0.000671476,-0.000869617,1.69107E-05,-0.000852706,-0.000303611,-5.24405E-05,-0.000356052,-0.000258514,-2.12805E-05,-0.000279795,-0.000446796,4.18095E-05,-0.000404986,-0.000264724,1.15329E-05,-0.000253191,-0.000901138,5.33488E-05,-0.000847789,-0.000842086,3.84499E-05,-0.000803636,-0.001157316,-4.89029E-06,-0.001162206,-0.000645865,5.99287E-05,-0.000585936,-0.000967057,7.78152E-05,-0.000889242,-0.001459529,-4.35893E-05,-0.001503119,-0.001320896,-0.000103394,-0.001424289,-0.001538581,-4.62703E-05,-0.001584851,-0.001111142,-0.00014685,-0.001257992,-0.001050083,-7.03865E-05,-0.00112047,-0.002281884,9.13635E-05,-0.00219052,-0.000866913,0.000125948,-0.000740965,-0.001546381,-6.05958E-05,-0.001606976,0.000739676,-3.42222E-05,0.000705454,-0.001353337,-5.64616E-05,-0.001409799,-0.00069406,5.44155E-05,-0.000639645,-0.001450185,-0.00010816,-0.001558345,-0.000953833,3.67842E-05,-0.000917049,-0.000607619,8.46682E-05,-0.000522951,-0.001601743,-0.00011154,-0.001713283,-0.001664531,-4.84404E-05,-0.001712971,-0.002163102,-0.000163592,-0.002326694,-0.002152859,-0.000148732,-0.002301591,-0.00203323,-9.79731E-05,-0.002131203,-0.001750741,-7.04832E-05,-0.001821224,-0.001277498,-0.000372816,-0.001650314,
Avg_0-back.csv,-9.3,-0.000388884,-0.00032445,-0.000713334,-0.001732609,-4.7312E-06,-0.00173734,-0.001585906,-0.000126824,-0.001712729,-0.001578526,9.65959E-05,-0.00148193,-0.000594114,-6.00139E-05,-0.000654128,-0.000847716,1.98957E-05,-0.00082782,-0.000285074,-5.69494E-05,-0.000342023,-0.000228935,-1.97925E-05,-0.000248728,-0.000429751,4.12316E-05,-0.00038852,-0.000256243,1.11173E-05,-0.000245126,-0.000893432,5.9668E-05,-0.000833764,-0.000824056,3.93893E-05,-0.000784667,-0.001131165,-5.87805E-07,-0.001131753,-0.00065206,6.89386E-05,-0.000583122,-0.000970748,9.14093E-05,-0.000879339,-0.001428241,-4.01203E-05,-0.001468362,-0.001290367,-9.33764E-05,-0.001383744,-0.001512369,-3.86271E-05,-0.001550996,-0.001104506,-0.000137607,-0.001242113,-0.001046335,-6.27461E-05,-0.001109081,-0.002271999,9.89615E-05,-0.002173038,-0.000883874,0.000134048,-0.000749826,-0.001537572,-5.29624E-05,-0.001590534,0.000713472,-2.73655E-05,0.000686106,-0.001351867,-3.89894E-05,-0.001390856,-0.000713712,7.17694E-05,-0.000641943,-0.001434419,-9.45047E-05,-0.001528924,-0.000962112,5.13889E-05,-0.000910723,-0.000608096,8.81932E-05,-0.000519903,-0.001581914,-0.000105972,-0.001687886,-0.001633742,-4.49035E-05,-0.001678646,-0.002126988,-0.000158238,-0.002285226,-0.002122655,-0.000132206,-0.002254861,-0.001983359,-0.000110911,-0.002094271,-0.001717038,-6.36705E-05,-0.001780709,-0.001247088,-0.000368896,-0.001615984,
Avg_0-back.csv,-9.2,-0.000378063,-0.000316095,-0.000694158,-0.001694608,-9.23268E-07,-0.001695531,-0.001556598,-0.000110254,-0.001666851,-0.001555613,0.000102092,-0.001453521,-0.000583689,-5.40974E-05,-0.000637786,-0.000826926,2.30371E-05,-0.000803888,-0.000267904,-6.07546E-05,-0.000328659,-0.000200471,-1.83511E-05,-0.000218822,-0.000414458,4.10201E-05,-0.000373438,-0.000249416,1.12258E-05,-0.00023819,-0.000886969,6.61058E-05,-0.000820863,-0.000806096,4.09278E-05,-0.000765168,-0.001104727,4.18144E-06,-0.001100545,-0.000658063,7.8064E-05,-0.000579999,-0.000973546,0.000105016,-0.00086853,-0.001397619,-3.62843E-05,-0.001433903,-0.001260934,-8.27544E-05,-0.001343688,-0.001487161,-3.04659E-05,-0.001517626,-0.001098864,-0.000127547,-0.001226411,-0.001043158,-5.44485E-05,-0.001097607,-0.002260888,0.000106245,-0.002154643,-0.000900577,0.000142057,-0.00075852,-0.001529255,-4.53243E-05,-0.001574579,0.000686508,-2.05223E-05,0.000665986,-0.00134918,-2.15708E-05,-0.001370751,-0.000732656,8.91679E-05,-0.000643488,-0.001417265,-8.09723E-05,-0.001498238,-0.000969576,6.60272E-05,-0.000903549,-0.00060947,9.21873E-05,-0.000517283,-0.001562689,-0.000100169,-0.001662858,-0.001603308,-4.10553E-05,-0.001644363,-0.002091163,-0.000152303,-0.002243467,-0.002093389,-0.000114721,-0.002208109,-0.001932368,-0.000125374,-0.002057742,-0.001683294,-5.69002E-05,-0.001740195,-0.001217616,-0.000365004,-0.001582621,
Avg_0-back.csv,-9.1,-0.000369175,-0.000307447,-0.000676621,-0.001657712,3.21552E-06,-0.001654497,-0.001529813,-9.42002E-05,-0.001624014,-0.001533283,0.000107553,-0.001425729,-0.000574275,-4.81778E-05,-0.000622453,-0.000807163,2.62956E-05,-0.000780867,-0.000252022,-6.38704E-05,-0.000315893,-0.000173129,-1.70258E-05,-0.000190155,-0.000400905,4.11387E-05,-0.000359766,-0.000244129,1.18441E-05,-0.000232285,-0.000881625,7.26318E-05,-0.000808993,-0.000788195,4.30672E-05,-0.000745127,-0.001077996,9.3911E-06,-0.001068605,-0.000663799,8.72629E-05,-0.000576536,-0.000975325,0.000118568,-0.000856758,-0.001367574,-3.21019E-05,-0.001399676,-0.001232483,-7.16345E-05,-0.001304117,-0.00146279,-2.18583E-05,-0.001484648,-0.001094015,-0.00011676,-0.001210776,-0.001040384,-4.55205E-05,-0.001085905,-0.002248362,0.000113178,-0.002135184,-0.000916832,0.000149922,-0.000766909,-0.001521244,-3.77207E-05,-0.001558965,0.000658966,-1.37332E-05,0.000645232,-0.001345144,-4.28749E-06,-0.001349431,-0.000750703,0.000106498,-0.000644205,-0.001398708,-6.75751E-05,-0.001466283,-0.000976175,8.0637E-05,-0.000895538,-0.000611621,9.6619E-05,-0.000515002,-0.001543961,-9.41221E-05,-0.001638083,-0.001573176,-3.69157E-05,-0.001610092,-0.002055536,-0.000145823,-0.002201359,-0.002064851,-9.64565E-05,-0.002161308,-0.001880393,-0.000141175,-0.002021568,-0.001649448,-5.01857E-05,-0.001699634,-0.001189095,-0.000361096,-0.001550191,
