Time,S1D1HbO,S1D1HbR,S1D1HbT,S2D2HbO,S2D2HbR,S2D2HbT,S3D3HbO,S3D3HbR,S3D3HbT,S4D4HbO,S4D4HbR,S4D4HbT,S5D5HbO,S5D5HbR,S5D5HbT,S6D6HbO,S6D6HbR,S6D6HbT,S7D7HbO,S7D7HbR,S7D7HbT,S8D8HbO,S8D8HbR,S8D8HbT,S9D9HbO,S9D9HbR,S9D9HbT,S10D10HbO,S10D10HbR,S10D10HbT,S11D11HbO,S11D11HbR,S11D11HbT,S12D12HbO,S12D12HbR,S12D12HbT,S13D13HbO,S13D13HbR,S13D13HbT,S14D14HbO,S14D14HbR,S14D14HbT,S15D15HbO,S15D15HbR,S15D15HbT,S16D16HbO,S16D16HbR,S16D16HbT,S17D17HbO,S17D17HbR,S17D17HbT,S18D18HbO,S18D18HbR,S18D18HbT,S19D19HbO,S19D19HbR,S19D19HbT,S20D20HbO,S20D20HbR,S20D20HbT,S21D21HbO,S21D21HbR,S21D21HbT,S22D22HbO,S22D22HbR,S22D22HbT,S23D23HbO,S23D23HbR,S23D23HbT,S24D24HbO,S24D24HbR,S24D24HbT,S25D25HbO,S25D25HbR,S25D25HbT,S26D26HbO,S26D26HbR,S26D26HbT,S27D27HbO,S27D27HbR,S27D27HbT,S28D28HbO,S28D28HbR,S28D28HbT,S29D29HbO,S29D29HbR,S29D29HbT,S30D30HbO,S30D30HbR,S30D30HbT,S31D31HbO,S31D31HbR,S31D31HbT,S32D32HbO,S32D32HbR,S32D32HbT,S33D33HbO,S33D33HbR,S33D33HbT,S34D34HbO,S34D34HbR,S34D34HbT,S35D35HbO,S35D35HbR,S35D35HbT,S36D36HbO,S36D36HbR,S36D36HbT
0.0,-0.0006670767706,0.0001785941688,-0.0004884826017,-0.0002011324964,-0.0001151587601,-0.0003162912565,0.0001666203787,-0.0001522667439,1.435363489e-05,0.0001467755618,-0.0003181445008,-0.000171368939,0.0007566195816,-0.000389131614,0.0003674879676,-0.0003233059996,-0.000159353409,-0.0004826594086,0.0006104725467,-0.0001148837032,0.0004955888435,0.0002603397021,-0.0003340844377,-7.374473562e-05,0.001314362637,-6.380219308e-05,0.001250560444,0.0007784610646,-8.417220031e-05,0.0006942888643,0.0006490065003,-0.0001591754159,0.0004898310844,3.253959851e-05,-0.0001756739976,-0.0001431343991,4.398767357e-05,0.0002198008402,0.0002637885137,0.0003067569638,-5.576471639e-05,0.0002509922474,0.0003421541307,-0.0002913999104,5.075422032e-05,-0.0002720588328,-3.656342162e-05,-0.0003086222544,0.0004611021959,-8.077916703e-05,0.0003803230288,-0.0002593065176,-0.0003316911536,-0.0005909976711,0.0002042167763,-0.0001072619366,9.695483962e-05,7.477038944e-05,-0.0001363707249,-6.160033548e-05,0.0006292665432,-5.025182043e-05,0.0005790147228,-2.925370328e-05,7.395205137e-05,4.469834809e-05,0.0003580533011,0.0001678481045,0.0005259014056,5.703225737e-05,0.0002608996796,0.000317931937,0.001031458849,-0.0005691591041,0.0004622997451,0.0003073444485,7.44926974e-05,0.0003818371459,0.001887763794,-0.0001350209228,0.001752742871,0.0014071682,0.0001824766983,0.001589644898,0.0007336833006,5.216624505e-05,0.0007858495457,-0.0004024896033,-1.899363619e-05,-0.0004214832395,0.00125800365,-8.375240986e-05,0.00117425124,0.0003625591325,-3.200719026e-05,0.0003305519422,0.001446606988,-4.707724794e-05,0.00139952974,0.0002968566937,-0.0001320692531,0.0001647874406,0.001037139418,0.0001795921565,0.001216731575,0.0002603080195,2.146237134e-05,0.0002817703908
0.1,-0.0006735355714,0.000182782749,-0.0004907528224,-0.0002015707551,-0.0001212300921,-0.0003228008473,0.0001405099538,-0.0001526657299,-1.215577605e-05,0.0001391587564,-0.0003243907081,-0.0001852319516,0.0007155971403,-0.0003890789326,0.0003265182077,-0.0003455341142,-0.0001633162734,-0.0005088503876,0.0005617240994,-0.0001166848387,0.0004450392607,0.0001984520724,-0.0003380605537,-0.0001396084813,0.001297767054,-5.966905942e-05,0.001238097995,0.0007323192758,-8.497337981e-05,0.0006473458959,0.0006114551639,-0.0001502280116,0.0004612271523,-4.387716932e-06,-0.000178558308,-0.000182946025,-4.368710769e-05,0.0002248896447,0.000181202537,0.0002794820632,-6.213624692e-05,0.0002173458163,0.0002675118756,-0.0003096161521,-4.210427646e-05,-0.0003676058136,-3.491550438e-05,-0.000402521318,0.0003306533303,-8.405199215e-05,0.0002466013382,-0.0003599857737,-0.0003224845526,-0.0006824703263,9.714924464e-05,-0.0001019050822,-4.755837552e-06,4.257640893e-05,-0.0001397979928,-9.72215839e-05,0.0006250645233,-5.427742269e-05,0.0005707871006,-6.025238417e-05,8.413424603e-05,2.388186187e-05,0.0003503689474,0.0001746981093,0.0005250670568,6.87707138e-05,0.0002701884507,0.0003389591645,0.0009841237996,-0.0005607411488,0.0004233826509,0.0002619803695,7.044803799e-05,0.0003324284075,0.001840496782,-0.0001366108629,0.001703885919,0.001339354505,0.0001713090073,0.001510663512,0.000610214277,6.254420033e-05,0.0006727584773,-0.0005366852405,6.128205106e-06,-0.0005305570354,0.001131613739,-8.449575058e-05,0.001047117988,0.0002548821841,-2.526851381e-05,0.0002296136703,0.001378730267,-6.983281627e-05,0.001308897451,0.0001929287274,-0.000137813311,5.511541642e-05,0.0009440973318,0.0001753358577,0.00111943319,0.0001259350948,1.814123667e-05,0.0001440763315
0.2,-0.0006785696446,0.0001874019267,-0.0004911677179,-0.0002014564327,-0.000126871181,-0.0003283276137,0.0001139248645,-0.0001524643747,-3.853951023e-05,0.0001316419681,-0.0003300164431,-0.000198374475,0.0006728521964,-0.0003882376349,0.0002846145615,-0.0003673262612,-0.0001666420992,-0.0005339683603,0.0005120761712,-0.0001180754847,0.0003940006865,0.000135901642,-0.0003411811813,-0.0002052795394,0.001278536491,-5.523266172e-05,0.00122330383,0.000684431627,-8.520544875e-05,0.0005992261782,0.0005716903143,-0.0001402416952,0.0004314486191,-4.076738631e-05,-0.0001805902055,-0.0002213575918,-0.0001311559877,0.0002286959087,9.7539921e-05,0.0002512328555,-6.857026474e-05,0.0001826625908,0.0001915758755,-0.0003270832791,-0.0001355074036,-0.0004650984017,-3.285640342e-05,-0.0004979548051,0.000196779703,-8.740870507e-05,0.0001093709979,-0.0004608194074,-0.0003118652875,-0.0007726846948,-1.029660267e-05,-9.610228363e-05,-0.0001063988863,1.14121188e-05,-0.0001421769543,-0.0001307648355,0.0006216459046,-5.750051583e-05,0.0005641453888,-8.943923533e-05,9.466443957e-05,5.225204241e-06,0.0003422685792,0.0001819471487,0.0005242157279,8.141310465e-05,0.0002794064837,0.0003608195884,0.0009340473556,-0.0005499890535,0.000384058302,0.000214387286,6.699682467e-05,0.0002813841107,0.001789149516,-0.0001384541252,0.001650695391,0.001267292411,0.0001603350614,0.001427627472,0.0004835725809,7.301635841e-05,0.0005565889393,-0.0006706219241,3.198521188e-05,-0.0006386367122,0.0009989935774,-8.479845646e-05,0.000914195121,0.000144788555,-1.814816464e-05,0.0001266403904,0.001305572915,-9.136843705e-05,0.001214204477,8.654746234e-05,-0.0001431943523,-5.664688996e-05,0.0008482968245,0.0001706091182,0.001018905943,-1.00940175e-05,1.46956232e-05,4.601605703e-06
0.3,-0.0006821617941,0.0001924646439,-0.0004896971502,-0.0002007869146,-0.0001320835979,-0.0003328705125,8.693315688e-05,-0.0001516731848,-6.474002793e-05,0.0001242094178,-0.0003350203852,-0.0002108109674,0.0006285311386,-0.0003866093348,0.0002419218038,-0.0003886210368,-0.0001693138104,-0.0005579348472,0.0004617450768,-0.0001190308135,0.0003427142633,7.298031072e-05,-0.0003434088006,-0.0002704284899,0.001256705384,-5.051549281e-05,0.001206189891,0.00063500658,-8.485444024e-05,0.0005501521397,0.0005298126877,-0.0001292616059,0.0004005510818,-7.662015415e-05,-0.0001816936293,-0.0002583137835,-0.0002181863445,0.0002312249926,1.303864811e-05,0.000222099294,-7.5055416e-05,0.000147043878,0.0001145720495,-0.0003436142038,-0.0002290421542,-0.0005643139184,-3.039777889e-05,-0.0005947116973,5.991647277e-05,-9.067573514e-05,-3.075926237e-05,-0.0005615227478,-0.0002998595498,-0.0008613822976,-0.0001176809875,-8.986227224e-05,-0.0002075432598,-1.859362574e-05,-0.0001434890453,-0.000162082671,0.0006190794922,-5.991491999e-05,0.0005591645723,-0.0001166689446,0.0001054966325,-1.117231209e-05,0.0003337707726,0.0001895800819,0.0005233508545,9.488427776e-05,0.0002885394459,0.0003834237237,0.0008814757453,-0.0005370237133,0.000344452032,0.000164736461,6.414825415e-05,0.0002288847152,0.001733934343,-0.0001405729989,0.001593361344,0.001191185051,0.0001496810705,0.001340866121,0.0003542499434,8.355401868e-05,0.0004378039621,-0.0008037605892,5.846533856e-05,-0.0007452952506,0.0008606316074,-8.463071832e-05,0.0007760008891,3.269916016e-05,-1.065459113e-05,2.204456903e-05,0.001227323489,-0.0001114842316,0.001115839257,-2.188926445e-05,-0.0001480881403,-0.0001699774048,0.0007500777726,0.0001654796179,0.0009155573905,-0.0001469496105,1.097419501e-05,-0.0001359754155
0.4,-0.0006843048603,0.0001979794262,-0.000486325434,-0.0001995671436,-0.0001368712417,-0.0003364383853,5.959746717e-05,-0.0001503074645,-9.070999734e-05,0.0001168397683,-0.0003394028185,-0.0002225630503,0.0005827677679,-0.0003841979252,0.0001985698428,-0.0004093638246,-0.0001713189712,-0.0005806827958,0.000410929737,-0.0001195278176,0.0002914019194,9.983189421e-06,-0.000344707283,-0.0003347240935,0.001232301197,-4.553818724e-05,0.00118676301,0.0005842424503,-8.390952551e-05,0.0005003329248,0.0004859217865,-0.0001173361672,0.0003685856193,-0.0001119766983,-0.0001818024485,-0.0002937791468,-0.0003045403356,0.0002324899653,-7.205037032e-05,0.0001921744337,-8.157324934e-05,0.0001106011844,3.670603465e-05,-0.0003590172003,-0.0003223111657,-0.0006650221451,-2.755694653e-05,-0.0006925790916,-7.946738795e-05,-9.36880847e-05,-0.0001731554727,-0.0006618273102,-0.0002864991954,-0.0009483265056,-0.0002245848192,-8.318893415e-05,-0.0003077737534,-4.733533856e-05,-0.0001437238971,-0.0001910592357,0.0006174028448,-6.152381752e-05,0.0005558790272,-0.0001418310469,0.0001165801792,-2.525086776e-05,0.0003248901133,0.0001975775609,0.0005224676742,0.0001091099915,0.0002975758232,0.0004066858147,0.0008266661119,-0.0005219765577,0.0003046895542,0.0001131959727,6.191380678e-05,0.0001751097795,0.001675072009,-0.00014296899,0.001532103019,0.00111124255,0.0001394622971,0.001250704847,0.0002227344321,9.412576632e-05,0.0003168601984,-0.0009355767016,8.544785468e-05,-0.0008501288469,0.0007170379637,-8.396187034e-05,0.0006330760933,-8.096604719e-05,-2.797828604e-06,-8.376387579e-05,0.001144196526,-0.0001300009717,0.001014195554,-0.0001319754142,-0.0001523699057,-0.0002843453199,0.0006497769253,0.0001600275975,0.0008098045228,-0.00028382149,6.844870459e-06,-0.0002769766196
0.5,-0.0006850030098,0.0002039502451,-0.0004810527647,-0.0001978104781,-0.0001412397607,-0.0003390502388,3.197395039e-05,-0.0001483872457,-0.0001164132953,0.0001095057343,-0.0003431656268,-0.0002336598925,0.0005356831686,-0.0003810095598,0.0001546736088,-0.0004295082612,-0.0001726496083,-0.0006021578696,0.000359812058,-0.0001195454773,0.0002402665807,-5.279416995e-05,-0.0003450422262,-0.0003978363962,0.001205348402,-4.031891942e-05,0.001165029482,0.0005323283961,-8.236272649e-05,0.0004499656696,0.0004401175846,-0.0001045165953,0.0003356009894,-0.0001468755673,-0.0001808586129,-0.0003277341802,-0.0003899744821,0.0002325099827,-0.0001574644994,0.0001615549383,-8.809863222e-05,7.345630604e-05,-4.18353881e-05,-0.0003731016463,-0.0004149370344,-0.0007669867922,-2.43563493e-05,-0.0007913431415,-0.0002208701927,-9.629693038e-05,-0.0003171671231,-0.0007614820746,-0.0002718208256,-0.0010333029,-0.0003306150157,-7.608144173e-05,-0.0004066964574,-7.473160319e-05,-0.0001428791183,-0.0002176107215,0.000616622209,-6.233947712e-05,0.0005542827319,-0.0001648504661,0.0001278606781,-3.698978808e-05,0.0003156384795,0.0002059162243,0.0005215547038,0.0001240171963,0.0003065066057,0.0004305238021,0.0007698810872,-0.0005049842683,0.000264896819,5.993226101e-05,6.03060914e-05,0.0001202383524,0.001612788834,-0.0001456224018,0.001467166432,0.001027683203,0.0001297811017,0.001157464304,8.951054202e-05,0.0001046976136,0.0001942081556,-0.001065560871,0.0001128040618,-0.0009527568093,0.0005687410305,-8.276139872e-05,0.0004859796318,-0.0001957910094,5.410301118e-06,-0.0001903807082,0.001056429842,-0.0001467601228,0.0009096697188,-0.0002432995214,-0.000155917165,-0.0003992166864,0.0005477300647,0.0001543424036,0.0007020724683,-0.000419928888,2.197920707e-06,-0.0004177309673
0.6,-0.0006842716517,0.0002103764012,-0.0004738952506,-0.0001955380125,-0.00014519604,-0.0003407340525,4.112458412e-06,-0.0001459371162,-0.0001418246577,0.0001021745799,-0.0003463123529,-0.0002441377731,0.0004873884356,-0.0003770526602,0.0001103357754,-0.0004490165915,-0.0001733020332,-0.0006223186246,0.0003085598944,-0.0001190650289,0.0001894948655,-0.0001150578772,-0.0003443814346,-0.0004594393118,0.001175874607,-3.487320278e-05,0.001141001404,0.0004794477853,-8.020871343e-05,0.0003992390719,0.000392503961,-9.085664173e-05,0.0003016473193,-0.0001813582941,-0.000178811797,-0.0003601700911,-0.0004742390912,0.0002313094041,-0.0002429296871,0.000130342578,-9.460046997e-05,3.574210807e-05,-0.000120879156,-0.0003856854076,-0.0005065645636,-0.0008699648542,-2.08230583e-05,-0.0008907879125,-0.0003637574828,-9.83766567e-05,-0.0004621341395,-0.0008602519139,-0.0002558650386,-0.001116116953,-0.0004354074088,-6.853465556e-05,-0.0005039420644,-0.0001007244046,-0.0001409601845,-0.0002416845891,0.0006167142196,-6.238293855e-05,0.000554331281,-0.0001856859567,0.000139280725,-4.640523173e-05,0.0003060272776,0.0002145689274,0.000520596205,0.0001395350741,0.000315325067,0.000454860141,0.0007113854703,-0.000486185473,0.0002251999973,5.114052566e-06,5.933787622e-05,6.445192878e-05,0.001547315698,-0.0001484921322,0.001398823566,0.0009407371239,0.0001207258381,0.001061462962,-4.493894958e-05,0.0001152331277,7.029417817e-05,-0.001193218251,0.0001403984969,-0.001052819754,0.0004162857215,-8.100012945e-05,0.0003352855921,-0.0003113646742,1.395603873e-05,-0.0002974086355,0.00096428499,-0.0001616252948,0.0008026596952,-0.000355445203,-0.0001586132126,-0.0005140584156,0.000444276424,0.0001485185002,0.0005927949242,-0.0005545281751,-3.052087757e-06,-0.0005575802629
0.7,-0.0006821365916,0.0002172525853,-0.0004648840064,-0.0001927770243,-0.0001487478169,-0.0003415248412,-2.39426972e-05,-0.0001429859939,-0.0001669286911,9.480898914e-05,-0.0003488483238,-0.0002540393347,0.0004379882504,-0.0003723380001,6.56502503e-05,-0.0004678594665,-0.000173276716,-0.0006411361825,0.0002573301634,-0.0001180703554,0.000139259808,-0.0001765176594,-0.0003426954876,-0.000519213147,0.001143915542,-2.921413374e-05,0.001114701409,0.0004257812581,-7.744472053e-05,0.0003483365376,0.0003431914247,-7.641255498e-05,0.0002667788698,-0.0002154637463,-0.0001756208431,-0.0003910845895,-0.0005570784393,0.0002289174264,-0.0003281610129,9.864571034e-05,-0.0001010428363,-2.397126008e-06,-0.0002002590587,-0.0003966032028,-0.0005968622615,-0.0009737050847,-1.698819646e-05,-0.0009906932811,-0.0005075625513,-9.98301387e-05,-0.00060739269,-0.0009579147456,-0.0002386760059,-0.001196590752,-0.0005386285464,-6.053924602e-05,-0.0005991677924,-0.0001252778581,-0.0001379802825,-0.0002632581406,0.0006176284051,-6.168352529e-05,0.0005559448798,-0.0002043276891,0.0001507805782,-5.35471109e-05,0.0002960691537,0.0002235049692,0.0005195741229,0.0001555958732,0.0003240266661,0.0004796225393,0.0006514437241,-0.0004657187779,0.0001857249463,-5.108357479e-05,5.902148393e-05,7.937909141e-06,0.001478888255,-0.0001515159119,0.001327372343,0.0008506501642,0.0001123703811,0.0009630205453,-0.0001801318865,0.0001256933973,-5.443848919e-05,-0.001318068993,0.0001680904887,-0.001149978505,0.0002602319203,-7.865128571e-05,0.0001815806345,-0.0004272818645,2.282385824e-05,-0.0004044580063,0.0008680504984,-0.0001744855215,0.0006935649769,-0.0004679907195,-0.0001603509566,-0.0006283416761,0.0003397625792,0.0001426519278,0.000482414507,-0.0006869194684,-8.965825147e-06,-0.0006958852936
0.8,-0.0006786332195,0.0002245691242,-0.0004540640952,-0.0001895595249,-0.0001519034554,-0.0003414629802,-5.215219098e-05,-0.0001395668954,-0.0001917190863,8.73677251e-05,-0.0003507808382,-0.0002634131131,0.0003875832636,-0.0003668788835,2.07043801e-05,-0.0004860158607,-0.0001725781907,-0.0006585940514,0.0002062701262,-0.0001165484288,8.972169738e-05,-0.0002368892261,-0.0003399582878,-0.0005768475139,0.001109516732,-2.335290839e-05,0.001086163824,0.000371507439,-7.407049497e-05,0.000297436944,0.0002922974787,-6.124310559e-05,0.0002310543731,-0.0002492240623,-0.0001712561021,-0.0004204801644,-0.0006382322221,0.0002253676933,-0.0004128645289,6.657963444e-05,-0.0001073864952,-4.080686081e-05,-0.0002798092079,-0.0004057151141,-0.000685524322,-0.001077947185,-1.288618671e-05,-0.001090833372,-0.0006516898453,-0.0001005915828,-0.0007522814281,-0.001054259231,-0.0002203015317,-0.001274560763,-0.0006399774574,-5.208157731e-05,-0.0006920590347,-0.0001483769925,-0.0001339600052,-0.0002823369977,0.0006192896721,-6.027812476e-05,0.0005590115473,-0.0002207951139,0.000162298859,-5.849625481e-05,0.0002857782884,0.0002326902841,0.0005184685725,0.0001721348037,0.0003326089616,0.0005047437653,0.0005903166747,-0.0004437212299,0.0001465954449,-0.0001084768725,5.936830899e-05,-4.910856347e-05,0.001407747485,-0.0001546115644,0.001253135921,0.0007576860026,0.0001047741127,0.0008624601152,-0.0003155879563,0.0001360368913,-0.000179551065,-0.001439650989,0.0001957357353,-0.001243915253,0.0001011518014,-7.569123939e-05,2.546056202e-05,-0.0005431453567,3.199715524e-05,-0.0005111482014,0.0007680459566,-0.0001852596008,0.0005827863558,-0.0005805093959,-0.0001610363654,-0.0007415457614,0.0002345433347,0.0001368380305,0.0003713813652,-0.0008164532088,-1.557987881e-05,-0.0008320330876
0.9,-0.0006738062759,0.0002323123523,-0.0004414939236,-0.0001859215789,-0.0001546718586,-0.0003405934374,-8.048182494e-05,-0.0001357166631,-0.000216198488,7.980572903e-05,-0.000352119356,-0.000272313627,0.0003362703092,-0.0003606913533,-2.442104405e-05,-0.0005034735628,-0.0001712149079,-0.0006746884707,0.0001555162005,-0.0001144896878,4.102651277e-05,-0.0002958973546,-0.0003361474769,-0.0006320448315,0.00107273166,-1.729938047e-05,0.00105543228,0.0003168007736,-7.008819737e-05,0.0002467125763,0.0002399443731,-4.540951674e-05,0.0001945348564,-0.0002826633215,-0.0001657013712,-0.0004483646928,-0.0007174382544,0.0002206973766,-0.0004967408778,3.42652033e-05,-0.000113590701,-7.932549775e-05,-0.000359358849,-0.0004129145201,-0.0007722733691,-0.001182422876,-8.553662885e-06,-0.001190976539,-0.000795521427,-0.0001006276358,-0.0008961490629,-0.001149084112,-0.0002007936778,-0.00134987779,-0.0007391873017,-4.314389286e-05,-0.0007823311946,-0.0001700268355,-0.0001289269405,-0.000298953776,0.0006216004138,-5.821034283e-05,0.0005633900709,-0.000235135608,0.0001737733407,-6.136226734e-05,0.0002751692352,0.0002420875925,0.0005172568277,0.0001890887695,0.0003410714247,0.0005301601942,0.000528256701,-0.0004203266186,0.0001079300824,-0.0001668736127,6.038818146e-05,-0.0001064854313,0.001334139827,-0.000157679624,0.001176460203,0.0006621253131,9.79824935e-05,0.0007601078066,-0.0004508325024,0.0001462194776,-0.0003046130248,-0.001557524921,0.0002231877442,-0.001334337177,-6.037442649e-05,-7.210005959e-05,-0.0001324744861,-0.0006585695582,4.145926989e-05,-0.0006171102883,0.0006646241301,-0.0001938996356,0.0004707244944,-0.000692571704,-0.0001605911343,-0.0008531628383,0.0001289788712,0.0001311705741,0.0002601494453,-0.0009425372209,-2.290732958e-05,-0.0009654445505
