Time,S1D1HbO,S1D1HbR,S1D1HbT,S2D2HbO,S2D2HbR,S2D2HbT,S3D3HbO,S3D3HbR,S3D3HbT,S4D4HbO,S4D4HbR,S4D4HbT,S5D5HbO,S5D5HbR,S5D5HbT,S6D6HbO,S6D6HbR,S6D6HbT,S7D7HbO,S7D7HbR,S7D7HbT,S8D8HbO,S8D8HbR,S8D8HbT,S9D9HbO,S9D9HbR,S9D9HbT,S10D10HbO,S10D10HbR,S10D10HbT,S11D11HbO,S11D11HbR,S11D11HbT,S12D12HbO,S12D12HbR,S12D12HbT,S13D13HbO,S13D13HbR,S13D13HbT,S14D14HbO,S14D14HbR,S14D14HbT,S15D15HbO,S15D15HbR,S15D15HbT,S16D16HbO,S16D16HbR,S16D16HbT,S17D17HbO,S17D17HbR,S17D17HbT,S18D18HbO,S18D18HbR,S18D18HbT,S19D19HbO,S19D19HbR,S19D19HbT,S20D20HbO,S20D20HbR,S20D20HbT,S21D21HbO,S21D21HbR,S21D21HbT,S22D22HbO,S22D22HbR,S22D22HbT,S23D23HbO,S23D23HbR,S23D23HbT,S24D24HbO,S24D24HbR,S24D24HbT,S25D25HbO,S25D25HbR,S25D25HbT,S26D26HbO,S26D26HbR,S26D26HbT,S27D27HbO,S27D27HbR,S27D27HbT,S28D28HbO,S28D28HbR,S28D28HbT,S29D29HbO,S29D29HbR,S29D29HbT,S30D30HbO,S30D30HbR,S30D30HbT,S31D31HbO,S31D31HbR,S31D31HbT,S32D32HbO,S32D32HbR,S32D32HbT,S33D33HbO,S33D33HbR,S33D33HbT,S34D34HbO,S34D34HbR,S34D34HbT,S35D35HbO,S35D35HbR,S35D35HbT,S36D36HbO,S36D36HbR,S36D36HbT
0.0,0.0004357951434,-0.0002170998895,0.0002186952538,-0.000172618595,-0.0001909638455,-0.0003635824405,-0.000490513053,-0.0001265165733,-0.0006170296264,-0.0004750923547,-0.0001871835562,-0.0006622759109,0.0001307032628,0.0001571878028,0.0002878910656,-0.0002901254811,-0.0001254450682,-0.0004155705493,0.0003592590767,-7.429459277e-05,0.0002849644839,0.0004148380152,1.72375981e-05,0.0004320756133,0.001100062546,0.0001391507956,0.001239213341,0.0008969107041,0.0001250275066,0.001021938211,0.0002429188317,-0.0001815845592,6.133427252e-05,-0.0008765388152,-0.0001785961834,-0.001055134999,-0.001854251398,-0.0007065796531,-0.002560831051,-0.0003632942241,-0.0002501987492,-0.0006134929733,-0.001514700585,8.214429636e-05,-0.001432556289,-0.001907821975,-0.0002939030645,-0.002201725039,-0.002118845112,-0.000223075096,-0.002341920208,-0.001343097279,-0.0002416797287,-0.001584777008,-0.00144111666,-0.0001329235255,-0.001574040186,0.0003691135373,-0.0002839908338,8.512270349e-05,0.0003478041708,-0.0004517675411,-0.0001039633703,0.00107380901,-0.0002475836984,0.0008262253119,-0.0001491935187,-0.0003200679629,-0.0004692614817,0.001354262725,-0.0002162867781,0.001137975947,-4.572149749e-05,-0.0001593607882,-0.0002050822857,0.0002144483959,-0.0001048892496,0.0001095591463,-0.0003674322038,-0.0003990900327,-0.0007665222364,-0.001259221695,0.0004199982087,-0.0008392234861,-0.0008624752744,-0.0003446487846,-0.001207124059,-0.001101633909,-0.0001844955653,-0.001286129474,-0.0008378447462,-0.0004151917218,-0.001253036468,-0.001178394991,-0.0002769528242,-0.001455347815,-0.0005669849357,-0.000711655022,-0.001278639958,-0.002287419845,-0.0003259923457,-0.002613412191,-0.001404508586,-0.0001741260458,-0.001578634631,-0.001479773362,-0.00014237871,-0.001622152072
0.1,0.0004003528341,-0.0002239981251,0.0001763547089,-0.0002256695236,-0.000198373406,-0.0004240429296,-0.0005501529728,-0.0001456483582,-0.000695801331,-0.0005632474331,-0.0001954403335,-0.0007586877666,7.295455984e-05,0.0001338876827,0.0002068422426,-0.0003286755256,-0.0001339605442,-0.0004626360698,0.0003458188868,-8.805658368e-05,0.0002577623031,0.0003889410308,-3.107748886e-06,0.0003858332819,0.001090038978,0.0001159588401,0.001205997818,0.0008748998878,9.923183042e-05,0.0009741317183,0.0002286966121,-0.0002164329206,1.226369155e-05,-0.0008945007981,-0.0001950848873,-0.001089585685,-0.001922509634,-0.0007267048657,-0.0026492145,-0.0003660264765,-0.0002565744763,-0.0006226009528,-0.001550864993,6.333192614e-05,-0.001487533067,-0.00195043609,-0.0002971307161,-0.002247566806,-0.002168435947,-0.0002480140267,-0.002416449973,-0.001424255367,-0.0002559487172,-0.001680204084,-0.00155549025,-0.0001358204504,-0.0016913107,0.0003424829404,-0.0002972034415,4.52794989e-05,0.0003425071518,-0.000475775166,-0.0001332680142,0.00106012764,-0.0002576868561,0.000802440784,-0.0001746720512,-0.0003364061025,-0.0005110781537,0.001339384999,-0.0002303006934,0.001109084306,-4.370342029e-05,-0.0001841766145,-0.0002278800348,0.0002253612314,-0.0001238192429,0.0001015419885,-0.000434757642,-0.0004198223604,-0.0008545800024,-0.001387109986,0.0004765032439,-0.0009106067424,-0.0009464804173,-0.0003744767239,-0.001320957141,-0.001149249603,-0.000230695788,-0.001379945391,-0.0009274927904,-0.0004276592925,-0.001355152083,-0.001249623152,-0.000313343419,-0.001562966571,-0.000710797805,-0.000704727516,-0.001415525321,-0.002413644973,-0.0003720199458,-0.002785664919,-0.001439282557,-0.0001993515104,-0.001638634068,-0.001550153512,-0.0001791371651,-0.001729290677
0.2,0.0003610001847,-0.0002305091937,0.0001304909911,-0.0002819147437,-0.0002059609597,-0.0004878757034,-0.0006159907025,-0.0001642554814,-0.0007802461839,-0.0006569863634,-0.0002038605299,-0.0008608468933,7.34913789e-06,0.0001100185232,0.0001173676611,-0.0003723641037,-0.0001425480292,-0.0005149121329,0.0003264434637,-0.0001017641952,0.0002246792685,0.0003612149807,-2.334276811e-05,0.0003378722126,0.0010752875,9.228827678e-05,0.001167575777,0.0008519628939,7.387367284e-05,0.0009258365667,0.0002098830483,-0.0002511188322,-4.12357839e-05,-0.0009155084261,-0.0002116382127,-0.001127146639,-0.001994159873,-0.0007466026963,-0.002740762569,-0.0003698550713,-0.0002626121734,-0.0006324672447,-0.001588324436,4.218815748e-05,-0.001546136279,-0.001998668115,-0.0002995046161,-0.002298172731,-0.002224841608,-0.0002700518582,-0.002494893466,-0.001509427287,-0.0002702992718,-0.001779726559,-0.001673456217,-0.0001391398864,-0.001812596104,0.0003124653382,-0.0003103002288,2.16510943e-06,0.0003319812926,-0.0005000695979,-0.0001680883053,0.001039836633,-0.0002675636604,0.0007722729731,-0.0002049391041,-0.0003529204527,-0.0005578595569,0.001319379943,-0.0002437453566,0.001075634586,-4.197393059e-05,-0.0002098115607,-0.0002517854912,0.0002323066619,-0.0001436947301,8.861193173e-05,-0.0005079808901,-0.0004401585072,-0.0009481393973,-0.00151725511,0.0005322028782,-0.0009850522319,-0.001034701827,-0.0004049131964,-0.001439615024,-0.001198824524,-0.0002782248824,-0.001477049406,-0.001020453608,-0.0004413346832,-0.001461788291,-0.001321438554,-0.0003520200154,-0.001673458569,-0.0008609822762,-0.0006954100431,-0.001556392319,-0.002540041379,-0.0004195150605,-0.00295955644,-0.001475637934,-0.000224638123,-0.001700276057,-0.00161861508,-0.0002188917023,-0.001837506782
0.3,0.0003179472482,-0.0002366155779,8.133167034e-05,-0.00034116726,-0.0002137033058,-0.0005548705657,-0.0006877448156,-0.0001822506991,-0.0008699955147,-0.0007560334393,-0.0002124257437,-0.0009684591831,-6.594504035e-05,8.569904603e-05,1.975400568e-05,-0.0004212137487,-0.0001511795187,-0.0005723932675,0.0003010295197,-0.0001153499475,0.0001856795723,0.0003317268338,-4.339284565e-05,0.0002883339882,0.001055789309,6.824475801e-05,0.001124034067,0.0008282557341,4.907097907e-05,0.0008773267132,0.0001864989042,-0.0002854859752,-9.898707093e-05,-0.0009395903114,-0.0002282716754,-0.001167861987,-0.002069026757,-0.0007664566813,-0.002835483438,-0.0003748447189,-0.0002683062147,-0.0006431509336,-0.001627020559,1.869837231e-05,-0.001608322187,-0.002052604098,-0.0003010320233,-0.002353636121,-0.002288224484,-0.0002888352407,-0.002577059725,-0.001598398444,-0.0002847413089,-0.001883139753,-0.001794452933,-0.0001429134421,-0.001937366375,0.0002791248826,-0.0003232608165,-4.413593391e-05,0.0003161876726,-0.0005245806172,-0.0002083929446,0.001012983534,-0.0002771925845,0.0007357909498,-0.0002398642025,-0.0003695532647,-0.0006094174672,0.001294421492,-0.0002565753184,0.001037846174,-4.056932859e-05,-0.0002362033935,-0.0002767727221,0.0002351579246,-0.0001644567186,7.070120601e-05,-0.0005869318435,-0.0004600654052,-0.001046997249,-0.001648845932,0.0005861691016,-0.001062676831,-0.001126948075,-0.000435852786,-0.001562800861,-0.00125033566,-0.0003269354157,-0.001577271076,-0.001116438798,-0.0004562371788,-0.001572675977,-0.00139369704,-0.0003927695983,-0.001786466638,-0.001016707517,-0.0006838069653,-0.001700514482,-0.00266637419,-0.0004679358698,-0.00313431006,-0.001513589999,-0.0002498791889,-0.001763469188,-0.001684768259,-0.0002615020513,-0.00194627031
0.4,0.00027144421,-0.0002422997183,2.914449171e-05,-0.0004032178184,-0.000221575076,-0.0006247928944,-0.0007650646147,-0.0001995538657,-0.0009646184804,-0.0008600567854,-0.000221117252,-0.001081174037,-0.0001467139535,6.104765672e-05,-8.566629674e-05,-0.0004752071708,-0.0001598270359,-0.0006350342067,0.0002695073212,-0.0001287488697,0.0001407584515,0.0003005471298,-6.318680364e-05,0.0002373603262,0.00103154886,4.393166876e-05,0.001075480529,0.0008039147706,2.493344871e-05,0.0008288482194,0.0001586029465,-0.0003193830155,-0.000160780069,-0.000966762227,-0.0002449967734,-0.001211759,-0.00214694542,-0.0007864433139,-0.002933388734,-0.0003810519762,-0.0002736527289,-0.0006547047051,-0.001666893802,-7.121868786e-06,-0.001674015671,-0.002112284431,-0.0003017444324,-0.002414028864,-0.002358662929,-0.0003040637906,-0.00266272672,-0.001690928037,-0.0002992906858,-0.001990218723,-0.001917899069,-0.0001471596394,-0.002065058709,0.0002425565491,-0.0003360616297,-9.350508063e-05,0.0002951453514,-0.0005492347031,-0.0002540893516,0.0009796729541,-0.0002865536269,0.0006931193271,-0.0002792591856,-0.0003862421853,-0.0006655013709,0.001264737305,-0.000268747609,0.0009959896961,-3.952703799e-05,-0.0002632833157,-0.0003028103537,0.000233829173,-0.000186041228,4.778794501e-05,-0.0006713851194,-0.0004795245494,-0.001150909669,-0.001781114524,0.0006374928917,-0.001143621632,-0.001223007166,-0.0004671780402,-0.001690185206,-0.001303749303,-0.0003766555308,-0.001680404834,-0.001215170625,-0.0004723522644,-0.00168752289,-0.001466254688,-0.0004353492998,-0.001901603988,-0.00117712609,-0.0006700379802,-0.001847164071,-0.002792437003,-0.0005166998943,-0.003309136897,-0.001553141797,-0.0002750014467,-0.001828143244,-0.001748224429,-0.0003068150523,-0.002055039482
0.5,0.0002217814216,-0.0002475446483,-2.576322671e-05,-0.0004678347688,-0.0002295491301,-0.0006973838988,-0.0008475303146,-0.0002160931014,-0.001063623416,-0.0009686666052,-0.0002299163107,-0.001198582916,-0.0002346945865,3.618131349e-05,-0.0001985132731,-0.0005342839627,-0.0001684628947,-0.0007027468574,0.0002318446997,-0.0001418990851,8.994561457e-05,0.000267751482,-8.265714584e-05,0.0001850943362,0.001002596336,1.944925998e-05,0.001022045596,0.0007790575543,1.56171757e-06,0.0007806192718,0.000126294578,-0.0003526652405,-0.0002263706625,-0.0009970233687,-0.0002618198289,-0.001258843198,-0.002227761714,-0.0008067237893,-0.003034485503,-0.0003885219954,-0.000278649814,-0.0006671718094,-0.001707883117,-3.522360619e-05,-0.001743106724,-0.002177700887,-0.0003016946493,-0.002479395536,-0.00243614402,-0.0003154956909,-0.002751639711,-0.001786745448,-0.0003139676327,-0.002100713081,-0.00204319522,-0.000151884177,-0.002195079397,0.0002028877549,-0.0003486761663,-0.0001457884113,0.0002689343116,-0.000573955736,-0.0003050214244,0.0009400668486,-0.0002956284805,0.0006444383682,-0.000322880088,-0.0004029217711,-0.0007258018591,0.001230609234,-0.0002802222697,0.0009503869647,-3.888343071e-05,-0.0002909761834,-0.0003298596141,0.0002282774676,-0.0002083801012,1.989736641e-05,-0.0007610621174,-0.0004985298495,-0.001259591967,-0.001913349822,0.0006853028041,-0.001228047018,-0.001322646097,-0.0004987594018,-0.001821405499,-0.001359018639,-0.0004271896191,-0.001786208258,-0.001316383662,-0.0004896294873,-0.00180601315,-0.001538966482,-0.0004794891722,-0.002018455654,-0.001341379318,-0.0006542410914,-0.00199562041,-0.002918040258,-0.0005652013476,-0.003483241606,-0.001594272996,-0.0002999740753,-0.001894247071,-0.001808606349,-0.0003546627056,-0.002163269055
0.6,0.0001692880748,-0.000252334732,-8.304665723e-05,-0.0005347647639,-0.0002375970015,-0.0007723617654,-0.0009346550944,-0.0002318058174,-0.001166460912,-0.001081415039,-0.0002388043838,-0.001320219422,-0.0003295729032,1.121451841e-05,-0.0003183583847,-0.0005983388356,-0.0001770597419,-0.0007753985776,0.0001880501248,-0.0001547423162,3.330780861e-05,0.000233421164,-0.0001017398287,0.0001316813353,0.0009689895305,-5.105936774e-06,0.0009638835937,0.0007537838151,-2.095306376e-05,0.0007328307514,8.971513366e-05,-0.0003851959219,-0.0002954807883,-0.001030353331,-0.0002787415307,-0.001309094861,-0.002311332362,-0.0008274361702,-0.003138768533,-0.0003972872278,-0.0002832976821,-0.0006805849099,-0.001749927787,-6.55220676e-05,-0.001815449855,-0.00224879504,-0.0003009532427,-0.002549748283,-0.002520558035,-0.000322953063,-0.002843511098,-0.001885547674,-0.0003287955247,-0.002214343199,-0.002169726423,-0.0001570802743,-0.002326806697,0.0001602785802,-0.0003610754433,-0.0002007968631,0.0002376959674,-0.0005986658294,-0.000360969862,0.0008943831759,-0.0003044006945,0.0005899824815,-0.0003704313105,-0.0004195250398,-0.0007899563503,0.001192371778,-0.0002909628863,0.0009014088912,-3.867275905e-05,-0.0003192008017,-0.0003578735607,0.0002185028854,-0.0002314014401,-1.289855468e-05,-0.0008556340942,-0.0005170858172,-0.001372719911,-0.0020449119,0.0007287807604,-0.00131613114,-0.001425610853,-0.0005304565376,-0.00195606739,-0.001416082161,-0.0004783200828,-0.001894402244,-0.001419826811,-0.0005079808359,-0.001927807647,-0.001611688248,-0.0005248940944,-0.002136582342,-0.001508604371,-0.0006365731945,-0.002145177565,-0.003042999275,-0.0006128286829,-0.003655827957,-0.001636935712,-0.0003248106883,-0.0019617464,-0.00186556077,-0.0004048579347,-0.002270418705
0.7,0.0001143296059,-0.0002566563841,-0.0001423267782,-0.0006037342555,-0.0002456893449,-0.0008494236004,-0.001025888914,-0.0002466394899,-0.001272528404,-0.001197797699,-0.0002477632347,-0.001445560934,-0.0004309828105,-1.374145884e-05,-0.0004447242694,-0.0006672212985,-0.0001855903678,-0.0008528116663,0.0001381747561,-0.0001672242432,-2.904948714e-05,0.000197642828,-0.0001203735251,7.726930287e-05,0.0009308151845,-2.964145941e-05,0.0009011737251,0.00072817667,-4.25292838e-05,0.0006856473862,4.90480661e-05,-0.0004168473711,-0.000367799305,-0.001066709912,-0.000295757188,-0.0013624671,-0.002397525458,-0.0008486880173,-0.003246213476,-0.0004073674645,-0.000287598754,-0.0006949662185,-0.00179297048,-9.78949148e-05,-0.001890865395,-0.00232545792,-0.0002996047039,-0.002625062624,-0.002611695447,-0.0003263276824,-0.00293802313,-0.001986997764,-0.0003438003069,-0.00233079807,-0.002296865247,-0.0001627297028,-0.002459594949,0.0001149209142,-0.000373228699,-0.0002583077848,0.0002016317253,-0.000623286379,-0.0004216546537,0.0008428933815,-0.0003128558817,0.0005300374999,-0.0004215711036,-0.0004359849708,-0.0008575560744,0.001150408955,-0.0003009371217,0.0008494718334,-3.892726902e-05,-0.0003478702895,-0.0003867975585,0.000204546952,-0.0002550297396,-5.048278762e-05,-0.0009547256594,-0.0005352065008,-0.00148993216,-0.00217524011,0.000767171731,-0.001408068379,-0.001531626549,-0.0005621211456,-0.002093747694,-0.001474862168,-0.0005298104217,-0.002004672589,-0.001525265435,-0.000527279797,-0.002052545232,-0.001684280899,-0.0005712453717,-0.002255526271,-0.001677942644,-0.0006172085185,-0.002295151162,-0.00316712327,-0.0006589805224,-0.003826103792,-0.00168105316,-0.000349569261,-0.002030622421,-0.001918773906,-0.0004571875021,-0.002375961408
0.8,5.730431542e-05,-0.0002604986064,-0.000203194291,-0.0006744514633,-0.0002537963126,-0.0009282477759,-0.00112062344,-0.0002605521208,-0.00138117556,-0.001317256519,-0.0002567748805,-0.001574031399,-0.0005385057626,-3.857907126e-05,-0.0005770848338,-0.0007407361717,-0.0001940274209,-0.0009347635926,8.231380603e-05,-0.0001792947046,-9.69808986e-05,0.0001605080154,-0.000138498557,2.200945835e-05,0.0008881901549,-5.406913096e-05,0.000834121024,0.0007023044064,-6.309467055e-05,0.0006392097358,4.518699186e-06,-0.0004475017322,-0.0004429830331,-0.001106027423,-0.0003128573998,-0.001418884823,-0.002486219653,-0.0008705501303,-0.003356769783,-0.0004187700777,-0.0002915577091,-0.0007103277869,-0.001836959839,-0.0001321812634,-0.001969141102,-0.002407530655,-0.000297743436,-0.002705274091,-0.00270924594,-0.0003255872617,-0.003034833201,-0.002090724367,-0.000359009966,-0.002449734333,-0.00242397488,-0.0001688047119,-0.002592779592,6.703706337e-05,-0.0003851042629,-0.0003180671995,0.0001610004502,-0.000647739263,-0.0004867388128,0.000785919367,-0.0003209819131,0.0004649374539,-0.0004759170904,-0.0004522358346,-0.000928152925,0.001105150328,-0.0003101172332,0.0007950330952,-3.967792726e-05,-0.0003768924915,-0.0004165704187,0.000186490207,-0.000279185854,-9.269564703e-05,-0.001057919117,-0.0005529141106,-0.001610833227,-0.002303853147,0.0007997887925,-0.001504064355,-0.001640397497,-0.0005936005434,-0.00223399804,-0.001535262484,-0.0005814095814,-0.002116672066,-0.001632482591,-0.0005473616335,-0.002179844224,-0.001756614813,-0.0006182026042,-0.002374817417,-0.001848546468,-0.0005963375906,-0.002444884059,-0.003290205377,-0.0007030800623,-0.003993285439,-0.001726517441,-0.000374353389,-0.00210087083,-0.001967988842,-0.0005114023741,-0.002479391216
0.9,-1.36010755e-06,-0.0002638532772,-0.0002652133847,-0.000746608325,-0.0002618878436,-0.001008496169,-0.001218197195,-0.0002735124347,-0.001491709629,-0.001439183274,-0.0002658214835,-0.001705004758,-0.0006516704543,-6.319476859e-05,-0.0007148652229,-0.0008186441459,-0.0002023432127,-0.001020987359,2.060772159e-05,-0.0001909077693,-0.0001703000477,0.0001221132444,-0.0001560558349,-3.39425905e-05,0.000841262828,-7.830518777e-05,0.0007629576402,0.0006762231725,-8.25859396e-05,0.0005936372329,-4.360576347e-05,-0.0004770515569,-0.0005206573203,-0.001148214911,-0.0003300287682,-0.00147824368,-0.002577299683,-0.0008930528104,-0.003470352493,-0.0004314894668,-0.0002951814028,-0.0007266708695,-0.001881850468,-0.0001681825573,-0.002050033025,-0.002494805368,-0.0002954700848,-0.002790275453,-0.002812799132,-0.0003207812056,-0.003133580337,-0.002196322576,-0.0003744531458,-0.002570775721,-0.002550411679,-0.0001752705746,-0.002725682253,1.68782812e-05,-0.0003966703688,-0.0003797920876,0.0001161157057,-0.0006719480284,-0.0005558323226,0.0007238305394,-0.000328768983,0.0003950615563,-0.0005330508085,-0.0004682142882,-0.001001265097,0.001057066812,-0.0003184805783,0.0007385862333,-4.09548274e-05,-0.0004061704821,-0.0004471253095,0.0001644500016,-0.0003037870324,-0.0001393370308,-0.00116475988,-0.0005702362568,-0.001734996137,-0.002430343017,0.0008260162597,-0.001604326758,-0.001751606958,-0.0006247413585,-0.002376348316,-0.001597165045,-0.0006328572209,-0.002230022266,-0.001741277802,-0.0005680258503,-0.002309303652,-0.001828572515,-0.0006654061921,-0.002493978707,-0.002019580533,-0.0005741696416,-0.002593750174,-0.003412012237,-0.0007445893001,-0.004156601537,-0.001773185545,-0.0003993138018,-0.002172499347,-0.002013021827,-0.0005672076301,-0.002580229457
